binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
mvfstperf	download	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	6.630543	6.560128	6.651972	0.013852	1.072006	converged	confirm_disabled
mvfstperf	download	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	6.224258	6.182120	6.262106	0.012851	1.022379	converged	confirm_disabled
mvfstperf	download	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	6.460152	6.191055	6.482487	0.045112	1.077192	converged	p50_ci_width_0.0451_gt_0.0300;confirm_disabled;p50_ci_width_0.0451_gt_0.0300
mvfstperf	download	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	6.245511	6.231475	6.246180	0.002354	1.035262	converged	confirm_disabled
mvfstperf	upload	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	throughput_gbps	14	selected_saturation	converged	converged	converged	20	6.553247	6.553247	6.579560	0.004015	1.069579	converged	confirm_disabled
mvfstperf	upload	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	throughput_gbps	15	plateau_sentinel+post_selected	converged	converged	converged	20	6.070493	6.067293	6.174267	0.017622	1.046978	converged	confirm_disabled
mvfstperf	upload	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	throughput_gbps	15	selected_saturation+plateau_sentinel	converged	converged	converged	20	6.907475	6.848911	6.934416	0.012379	1.020510	converged	confirm_disabled
neqoperf	connect	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	selected_saturation	converged	converged	converged	20	783.894290	740.316243	806.721268	0.084712	1.186078	converged	p50_ci_width_0.0847_gt_0.0500;p80_p20_1.1861_gt_1.1500;confirm_disabled;p50_ci_width_0.0847_gt_0.0500;p80_p20_1.1861_gt_1.1500
neqoperf	connect	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	6	plateau_sentinel+post_selected	converged	converged	converged	20	767.211264	758.578249	769.237557	0.013894	1.119997	converged	confirm_disabled
neqoperf	connect	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	11	selected_saturation+plateau_sentinel	converged	converged	converged	20	1010.345591	993.743563	1060.714900	0.066286	1.143818	converged	p50_ci_width_0.0663_gt_0.0500;confirm_disabled;p50_ci_width_0.0663_gt_0.0500
neqoperf	download	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	4.084490	4.069646	4.095389	0.006302	1.046093	converged	confirm_disabled
neqoperf	download	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	3.683657	3.665975	3.837921	0.046678	1.085240	converged	p50_ci_width_0.0467_gt_0.0300;confirm_disabled;p50_ci_width_0.0467_gt_0.0300
neqoperf	download	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	4.166774	4.087426	4.220155	0.031854	1.161122	converged	p50_ci_width_0.0319_gt_0.0300;p80_p20_1.1611_gt_1.1500;confirm_disabled;p50_ci_width_0.0319_gt_0.0300;p80_p20_1.1611_gt_1.1500
neqoperf	download	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	3.713375	3.647392	4.130026	0.129972	1.159532	converged	p50_ci_width_0.1300_gt_0.0300;p80_p20_1.1595_gt_1.1500;block_median_ratio_1.1323_gt_1.1000;confirm_disabled;p50_ci_width_0.1300_gt_0.0300;p80_p20_1.1595_gt_1.1500;block_median_ratio_1.1323_gt_1.1000
neqoperf	upload	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	3.975923	3.858446	4.181572	0.081271	1.187008	converged	p50_ci_width_0.0813_gt_0.0300;p80_p20_1.1870_gt_1.1500;confirm_disabled;p50_ci_width_0.0813_gt_0.0300;p80_p20_1.1870_gt_1.1500
neqoperf	upload	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	2.785392	2.784987	2.785392	0.000145	1.354835	converged	p80_p20_1.3548_gt_1.1500;confirm_disabled;p80_p20_1.3548_gt_1.1500
neqoperf	upload	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	4.158408	4.127436	4.291403	0.039430	1.072458	converged	p50_ci_width_0.0394_gt_0.0300;confirm_disabled;p50_ci_width_0.0394_gt_0.0300
neqoperf	upload	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	2.624970	2.545411	2.629580	0.032065	1.140063	converged	p50_ci_width_0.0321_gt_0.0300;confirm_disabled;p50_ci_width_0.0321_gt_0.0300
ngtcp2perf	connect	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	18	selected_saturation+plateau_sentinel	converged	converged	converged	20	9968.492186	9968.492186	10001.529931	0.003314	1.056703	converged	confirm_disabled
ngtcp2perf	connect	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	7	selected_saturation	converged	converged	converged	20	3005.263133	2891.829663	3070.212683	0.059357	1.109562	converged	p50_ci_width_0.0594_gt_0.0500;confirm_disabled;p50_ci_width_0.0594_gt_0.0500
ngtcp2perf	connect	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	8	plateau_sentinel+post_selected	converged	converged	converged	20	2993.765169	2835.289865	3091.222493	0.085489	1.182276	converged	p50_ci_width_0.0855_gt_0.0500;p80_p20_1.1823_gt_1.1500;confirm_disabled;p50_ci_width_0.0855_gt_0.0500;p80_p20_1.1823_gt_1.1500
ngtcp2perf	download	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	selected_saturation	converged	converged	converged	20	16.674042	16.573227	16.782160	0.012530	1.172773	converged	p80_p20_1.1728_gt_1.1500;confirm_disabled;p80_p20_1.1728_gt_1.1500
ngtcp2perf	download	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	plateau_sentinel+post_selected	converged	converged	converged	20	16.162040	16.151493	16.162040	0.000653	1.128805	converged	confirm_disabled
ngtcp2perf	download	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	15.025589	14.495266	15.881548	0.092261	1.203758	converged	p50_ci_width_0.0923_gt_0.0300;p80_p20_1.2038_gt_1.1500;confirm_disabled;p50_ci_width_0.0923_gt_0.0300;p80_p20_1.2038_gt_1.1500
ngtcp2perf	download	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	14.964488	14.419535	15.153969	0.049078	1.104128	converged	p50_ci_width_0.0491_gt_0.0300;confirm_disabled;p50_ci_width_0.0491_gt_0.0300
ngtcp2perf	upload	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	5	selected_saturation	converged	converged	converged	20	24.267239	24.198142	24.392392	0.008005	1.044682	converged	confirm_disabled
ngtcp2perf	upload	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	6	plateau_sentinel+post_selected	converged	converged	converged	20	23.840173	23.189722	25.919337	0.114496	1.130216	converged	p50_ci_width_0.1145_gt_0.0300;block_median_ratio_1.1177_gt_1.1000;confirm_disabled;p50_ci_width_0.1145_gt_0.0300;block_median_ratio_1.1177_gt_1.1000
ngtcp2perf	upload	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	selected_saturation	converged	converged	converged	20	27.141936	26.851451	27.159037	0.011332	1.025230	converged	confirm_disabled
ngtcp2perf	upload	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	4	plateau_sentinel+post_selected	converged	converged	converged	20	26.598814	26.556019	26.742736	0.007020	1.040004	converged	confirm_disabled
noqperf	connect	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	connections_per_second	10	selected_saturation	converged	converged	converged	20	6189.861511	6088.715462	6253.221936	0.026577	1.108286	converged	confirm_disabled
noqperf	connect	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	connections_per_second	11	plateau_sentinel+post_selected	converged	converged	converged	20	6174.292295	6051.538110	6195.956598	0.023390	1.135107	converged	confirm_disabled
noqperf	connect	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	connections_per_second	7	selected_saturation	converged	converged	converged	20	3090.890761	3072.633097	3119.832592	0.015271	1.050446	converged	confirm_disabled
noqperf	connect	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	connections_per_second	8	plateau_sentinel+post_selected	converged	converged	converged	20	3072.729481	3065.886820	3094.834324	0.009421	1.100274	converged	confirm_disabled
noqperf	download	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	selected_saturation	converged	converged	converged	20	5.254559	5.191469	5.275984	0.016084	1.132646	converged	confirm_disabled
noqperf	download	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	3	plateau_sentinel+post_selected	converged	converged	converged	20	4.779558	4.735414	4.920911	0.038810	1.089545	converged	p50_ci_width_0.0388_gt_0.0300;confirm_disabled;p50_ci_width_0.0388_gt_0.0300
noqperf	download	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	3	selected_saturation	converged	converged	converged	20	4.838655	4.835989	4.846376	0.002147	1.025508	converged	confirm_disabled
noqperf	download	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	4	plateau_sentinel+post_selected	converged	converged	converged	20	4.548139	4.520700	4.572793	0.011454	1.051287	converged	confirm_disabled
noqperf	upload	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	3.568493	3.545453	3.639660	0.026400	1.083213	converged	confirm_disabled
noqperf	upload	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	3.014454	3.012614	3.020005	0.002452	1.016593	converged	outliers_2;confirm_disabled;outliers_2
noqperf	upload	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	3.016209	3.003531	3.035678	0.010658	1.023434	converged	confirm_disabled
noqperf	upload	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	2.640911	2.628620	2.662017	0.012646	1.042689	converged	outliers_1;confirm_disabled;outliers_1
picoperf	connect	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	connections_per_second	10	selected_saturation	converged	converged	converged	20	4338.462922	4217.588551	4631.025380	0.095296	1.177571	converged	p50_ci_width_0.0953_gt_0.0500;p80_p20_1.1776_gt_1.1500;confirm_disabled;p50_ci_width_0.0953_gt_0.0500;p80_p20_1.1776_gt_1.1500
