binary	scenario	network	path_profile	metric	capacity_index	curve_efficiency	client_count_efficiency	score	selected_threads	combined_p50
lsperf	upload	syscall	loopback	throughput_gbps	0.859555	0.798094	0.200000	74.525656	5	23.329985
mvfstperf	upload	syscall	loopback	throughput_gbps	0.254495	0.796225	0.066667	36.175287	15	6.907475
neqoperf	upload	syscall	loopback	throughput_gbps	0.153210	1.000000	1.000000	49.192582	1	4.158408
ngtcp2perf	upload	syscall	loopback	throughput_gbps	1.000000	0.831583	0.333333	85.789570	3	27.141936
noqperf	upload	syscall	loopback	throughput_gbps	0.111127	1.000000	1.000000	46.667636	1	3.016209
picoperf	upload	syscall	loopback	throughput_gbps	0.421226	0.806799	0.500000	52.943556	2	11.432897
quicheperf	upload	syscall	loopback	throughput_gbps	0.512369	0.851240	0.250000	55.773140	4	13.906682
quiczigperf	upload	syscall	loopback	throughput_gbps	0.341828	1.000000	1.000000	60.509692	1	9.277879
quinnperf	upload	syscall	loopback	throughput_gbps	0.126973	1.000000	1.000000	47.618353	1	3.446281
s2nperf	upload	syscall	loopback	throughput_gbps	0.220663	0.885472	0.500000	42.876583	2	5.989219
tquicperf	upload	syscall	loopback	throughput_gbps	0.407439	0.881444	0.200000	49.482436	5	11.058685
xquicperf	upload	syscall	loopback	throughput_gbps	0.115378	0.934718	0.250000	34.040654	4	3.131590
