binary	scenario	network	path_profile	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
picoperf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	8.050297	8.050297	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-56.58pct_le_1.00pct
picoperf	upload	iouring	loopback	throughput_gbps	5	5	6	1.000000	11.474884	11.474884	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.55pct_le_1.00pct
picoperf	upload	syscall	loopback	throughput_gbps	2	2	3	1.000000	11.432897	11.432897	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-24.58pct_le_1.00pct
quicheperf	connect	iouring	loopback	connections_per_second	12	12	13	1.000000	5791.114261	5791.114261	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.73pct_le_1.00pct
quicheperf	connect	syscall	loopback	connections_per_second	8	8	8	1.000000	2436.649213	2436.649213	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.43pct_le_1.00pct
quicheperf	download	iouring	loopback	throughput_gbps	2	2	3	1.000000	7.756130	7.756130	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.95pct_le_1.00pct
quicheperf	download	syscall	loopback	throughput_gbps	2	2	3	1.000000	8.997457	8.997457	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.84pct_le_1.00pct
quicheperf	upload	iouring	loopback	throughput_gbps	4	4	4	1.000000	12.812679	12.812679	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.81pct_le_1.00pct
quicheperf	upload	syscall	loopback	throughput_gbps	4	4	5	1.000000	13.906682	13.906682	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.74pct_le_1.00pct
quiczigperf	connect	iouring	loopback	connections_per_second	11	11	12	1.000000	3799.021948	3799.021948	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.82pct_le_1.00pct
quiczigperf	connect	syscall	loopback	connections_per_second	6	6	7	1.000000	2320.150826	2320.150826	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.29pct_le_1.00pct
quiczigperf	download	iouring	loopback	throughput_gbps	1	1	2	1.000000	9.420408	9.420408	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-68.14pct_le_1.00pct
quiczigperf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	9.585001	9.585001	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-46.05pct_le_1.00pct
quiczigperf	upload	iouring	loopback	throughput_gbps	1	1	2	1.000000	9.206329	9.206329	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-29.75pct_le_1.00pct
quiczigperf	upload	syscall	loopback	throughput_gbps	1	1	2	1.000000	9.277879	9.277879	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-20.44pct_le_1.00pct
quinnperf	connect	iouring	loopback	connections_per_second	14	14	15	1.000000	7157.732729	7157.732729	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.36pct_le_1.00pct
quinnperf	connect	syscall	loopback	connections_per_second	7	7	8	1.000000	3257.025843	3257.025843	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-4.53pct_le_1.00pct
