binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	9	pre_saturation	discovery	20	2	7246.018866	6817.118821	6480.612562	insufficient_order_stat_support	7246.018866	7261.589862	0.002149	6884.865017	7560.523814	1.098137	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	9	pre_saturation	combined	20	2	7246.018866	6817.118821	6480.612562	insufficient_order_stat_support	7246.018866	7261.589862	0.002149	6884.865017	7560.523814	1.098137	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	10	pre_saturation	discovery	20	2	7626.177421	7423.299530	7289.838877	insufficient_order_stat_support	7619.892099	7635.369768	0.002030	7460.253112	8273.851105	1.109058	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	10	pre_saturation	combined	20	2	7626.177421	7423.299530	7289.838877	insufficient_order_stat_support	7619.892099	7635.369768	0.002030	7460.253112	8273.851105	1.109058	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	11	selected_saturation+plateau_sentinel	discovery	20	2	7701.480742	7199.486464	6899.261140	insufficient_order_stat_support	7608.203641	7821.315665	0.027672	7517.241435	7946.161733	1.057058	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	11	selected_saturation+plateau_sentinel	combined	20	2	7701.480742	7199.486464	6899.261140	insufficient_order_stat_support	7608.203641	7821.315665	0.027672	7517.241435	7946.161733	1.057058	converged	
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	discovery	20	2	1353.358929	1265.033411	963.808551	insufficient_order_stat_support	1343.889586	1369.207930	0.018708	1325.871700	1387.340313	1.046361	converged	
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	combined	20	2	1353.358929	1265.033411	963.808551	insufficient_order_stat_support	1343.889586	1369.207930	0.018708	1325.871700	1387.340313	1.046361	converged	
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	discovery	20	2	2000.292827	1894.967788	1724.328416	insufficient_order_stat_support	1997.987523	2000.292827	0.001152	1944.985992	2209.427329	1.135961	converged	
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	combined	20	2	2000.292827	1894.967788	1724.328416	insufficient_order_stat_support	1997.987523	2000.292827	0.001152	1944.985992	2209.427329	1.135961	converged	
