scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
connect	iouring	loopback	connections_per_second	lsperf	mvfstperf	7701.480742	839.253156	9.176588	8.893781	9.710795	win
connect	iouring	loopback	connections_per_second	lsperf	neqoperf	7701.480742	783.894290	9.824642	9.431019	10.564831	win
connect	iouring	loopback	connections_per_second	lsperf	ngtcp2perf	7701.480742	9968.492186	0.772582	0.760704	0.784604	loss
connect	iouring	loopback	connections_per_second	lsperf	noqperf	7701.480742	6189.861511	1.244209	1.216685	1.284559	win
connect	iouring	loopback	connections_per_second	lsperf	picoperf	7701.480742	4338.462922	1.775163	1.642877	1.854452	win
connect	iouring	loopback	connections_per_second	lsperf	quicheperf	7701.480742	5791.114261	1.329879	1.287086	1.398727	win
connect	iouring	loopback	connections_per_second	lsperf	quiczigperf	7701.480742	3799.021948	2.027227	1.806396	2.103526	win
connect	iouring	loopback	connections_per_second	lsperf	quinnperf	7701.480742	7157.732729	1.075967	1.057444	1.128434	win
connect	iouring	loopback	connections_per_second	lsperf	s2nperf	7701.480742	5656.456478	1.361538	1.329250	1.389688	win
connect	iouring	loopback	connections_per_second	lsperf	tquicperf	7701.480742	7220.246114	1.066651	1.052885	1.091105	win
connect	iouring	loopback	connections_per_second	lsperf	xquicperf	7701.480742	8833.428586	0.871856	0.853399	0.897484	loss
connect	iouring	loopback	connections_per_second	mvfstperf	neqoperf	839.253156	783.894290	1.070620	0.998393	1.155523	statistical_tie
connect	iouring	loopback	connections_per_second	mvfstperf	ngtcp2perf	839.253156	9968.492186	0.084191	0.080530	0.085816	loss
connect	iouring	loopback	connections_per_second	mvfstperf	noqperf	839.253156	6189.861511	0.135585	0.128802	0.140498	loss
connect	iouring	loopback	connections_per_second	mvfstperf	picoperf	839.253156	4338.462922	0.193445	0.173919	0.202830	loss
connect	iouring	loopback	connections_per_second	mvfstperf	quicheperf	839.253156	5791.114261	0.144921	0.136254	0.152985	loss
connect	iouring	loopback	connections_per_second	mvfstperf	quiczigperf	839.253156	3799.021948	0.220913	0.191230	0.230072	loss
connect	iouring	loopback	connections_per_second	mvfstperf	quinnperf	839.253156	7157.732729	0.117251	0.111944	0.123422	loss
connect	iouring	loopback	connections_per_second	mvfstperf	s2nperf	839.253156	5656.456478	0.148371	0.140718	0.151996	loss
connect	iouring	loopback	connections_per_second	mvfstperf	tquicperf	839.253156	7220.246114	0.116236	0.111461	0.119339	loss
connect	iouring	loopback	connections_per_second	mvfstperf	xquicperf	839.253156	8833.428586	0.095009	0.090343	0.098162	loss
connect	iouring	loopback	connections_per_second	neqoperf	ngtcp2perf	783.894290	9968.492186	0.078637	0.074020	0.080927	loss
connect	iouring	loopback	connections_per_second	neqoperf	noqperf	783.894290	6189.861511	0.126642	0.118390	0.132494	loss
connect	iouring	loopback	connections_per_second	neqoperf	picoperf	783.894290	4338.462922	0.180685	0.159860	0.191275	loss
connect	iouring	loopback	connections_per_second	neqoperf	quicheperf	783.894290	5791.114261	0.135362	0.125240	0.144270	loss
connect	iouring	loopback	connections_per_second	neqoperf	quiczigperf	783.894290	3799.021948	0.206341	0.175771	0.216966	loss
connect	iouring	loopback	connections_per_second	neqoperf	quinnperf	783.894290	7157.732729	0.109517	0.102895	0.116391	loss
connect	iouring	loopback	connections_per_second	neqoperf	s2nperf	783.894290	5656.456478	0.138584	0.129343	0.143338	loss
connect	iouring	loopback	connections_per_second	neqoperf	tquicperf	783.894290	7220.246114	0.108569	0.102451	0.112541	loss
connect	iouring	loopback	connections_per_second	neqoperf	xquicperf	783.894290	8833.428586	0.088742	0.083040	0.092570	loss
connect	iouring	loopback	connections_per_second	ngtcp2perf	noqperf	9968.492186	6189.861511	1.610455	1.594137	1.642634	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	picoperf	9968.492186	4338.462922	2.297701	2.152545	2.371386	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	quicheperf	9968.492186	5791.114261	1.721343	1.686378	1.788626	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	quiczigperf	9968.492186	3799.021948	2.623963	2.366793	2.689890	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	quinnperf	9968.492186	7157.732729	1.392689	1.385495	1.442988	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	s2nperf	9968.492186	5656.456478	1.762321	1.741622	1.777067	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	tquicperf	9968.492186	7220.246114	1.380631	1.379521	1.395254	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	xquicperf	9968.492186	8833.428586	1.128496	1.118149	1.147660	win
connect	iouring	loopback	connections_per_second	noqperf	picoperf	6189.861511	4338.462922	1.426741	1.314766	1.482653	win
connect	iouring	loopback	connections_per_second	noqperf	quicheperf	6189.861511	5791.114261	1.068855	1.030033	1.118297	win
connect	iouring	loopback	connections_per_second	noqperf	quiczigperf	6189.861511	3799.021948	1.629330	1.445628	1.681791	win
connect	iouring	loopback	connections_per_second	noqperf	quinnperf	6189.861511	7157.732729	0.864780	0.846255	0.902194	loss
connect	iouring	loopback	connections_per_second	noqperf	s2nperf	6189.861511	5656.456478	1.094300	1.063776	1.111069	win
connect	iouring	loopback	connections_per_second	noqperf	tquicperf	6189.861511	7220.246114	0.857292	0.842606	0.872350	loss
connect	iouring	loopback	connections_per_second	noqperf	xquicperf	6189.861511	8833.428586	0.700731	0.682961	0.717548	loss
connect	iouring	loopback	connections_per_second	picoperf	quicheperf	4338.462922	5791.114261	0.749159	0.713493	0.828191	loss
connect	iouring	loopback	connections_per_second	picoperf	quiczigperf	4338.462922	3799.021948	1.141995	1.001371	1.245505	statistical_tie
connect	iouring	loopback	connections_per_second	picoperf	quinnperf	4338.462922	7157.732729	0.606123	0.586192	0.668149	loss
connect	iouring	loopback	connections_per_second	picoperf	s2nperf	4338.462922	5656.456478	0.766993	0.736866	0.822838	loss
connect	iouring	loopback	connections_per_second	picoperf	tquicperf	4338.462922	7220.246114	0.600875	0.583664	0.646047	loss
connect	iouring	loopback	connections_per_second	picoperf	xquicperf	4338.462922	8833.428586	0.491141	0.473080	0.531403	loss
connect	iouring	loopback	connections_per_second	quicheperf	quiczigperf	5791.114261	3799.021948	1.524370	1.327632	1.589801	win
connect	iouring	loopback	connections_per_second	quicheperf	quinnperf	5791.114261	7157.732729	0.809071	0.777181	0.852846	loss
connect	iouring	loopback	connections_per_second	quicheperf	s2nperf	5791.114261	5656.456478	1.023806	0.976948	1.050297	statistical_tie
connect	iouring	loopback	connections_per_second	quicheperf	tquicperf	5791.114261	7220.246114	0.802066	0.773830	0.824634	loss
connect	iouring	loopback	connections_per_second	quicheperf	xquicperf	5791.114261	8833.428586	0.655591	0.627216	0.678300	loss
connect	iouring	loopback	connections_per_second	quiczigperf	quinnperf	3799.021948	7157.732729	0.530758	0.516782	0.607667	loss
connect	iouring	loopback	connections_per_second	quiczigperf	s2nperf	3799.021948	5656.456478	0.671626	0.649615	0.748353	loss
connect	iouring	loopback	connections_per_second	quiczigperf	tquicperf	3799.021948	7220.246114	0.526162	0.514554	0.587565	loss
connect	iouring	loopback	connections_per_second	quiczigperf	xquicperf	3799.021948	8833.428586	0.430073	0.417063	0.483299	loss
connect	iouring	loopback	connections_per_second	quinnperf	s2nperf	7157.732729	5656.456478	1.265409	1.210956	1.278386	win
connect	iouring	loopback	connections_per_second	quinnperf	tquicperf	7157.732729	7220.246114	0.991342	0.959186	1.003717	statistical_tie
connect	iouring	loopback	connections_per_second	quinnperf	xquicperf	7157.732729	8833.428586	0.810301	0.777452	0.825604	loss
connect	iouring	loopback	connections_per_second	s2nperf	tquicperf	5656.456478	7220.246114	0.783416	0.778864	0.798477	loss
connect	iouring	loopback	connections_per_second	s2nperf	xquicperf	5656.456478	8833.428586	0.640347	0.631296	0.656784	loss
connect	iouring	loopback	connections_per_second	tquicperf	xquicperf	7220.246114	8833.428586	0.817378	0.804050	0.829179	loss
connect	syscall	loopback	connections_per_second	lsperf	mvfstperf	3526.067598	858.391124	4.107763	4.083718	4.142666	win
connect	syscall	loopback	connections_per_second	lsperf	neqoperf	3526.067598	1010.345591	3.489962	3.308859	3.548267	win
connect	syscall	loopback	connections_per_second	lsperf	ngtcp2perf	3526.067598	3005.263133	1.173297	1.143164	1.219321	win
connect	syscall	loopback	connections_per_second	lsperf	noqperf	3526.067598	3090.890761	1.140793	1.124982	1.147572	win
connect	syscall	loopback	connections_per_second	lsperf	picoperf	3526.067598	2199.857603	1.602862	1.590096	1.604112	win
connect	syscall	loopback	connections_per_second	lsperf	quicheperf	3526.067598	2436.649213	1.447097	1.427840	1.451872	win
