binary	scenario	network	path_profile	tier	publication_eligible	calibrated	workload_kind	selected_work_units	probe_work_units	target_duration_sec	calibration_duration_sec	timeout_sec	env_overrides	reason
lsperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
lsperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
lsperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.119095	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.116803	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.123074	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.123144	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
mvfstperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
mvfstperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
mvfstperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.155334	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
mvfstperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.152312	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
mvfstperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.314039	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
mvfstperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.246772	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
neqoperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
neqoperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
neqoperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.205783	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
neqoperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.203623	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
neqoperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.204516	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
