binary	scenario	network	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	connect	syscall	3	connections_per_second	combined	30	6	3311.241687	3239.237036	3545.386861	0.092458	3170.459836	3588.003207	1.131698	3674.960016	4100.518603	insufficient_order_stat_support	0.062171	1.181261	-0.094481	0.362487	0	not_ready_high_variance	p50_ci_width_0.0925_gt_0.0500;block_median_ratio_1.1813_gt_1.1000;drift_-0.0945_gt_0.0300;severe_drift_-0.0945_gt_0.0800
lsperf	download	iouring	1	throughput_gbps	discovery	30	6	5.860761	5.772057	5.898423	0.021561	5.750713	6.599835	1.147655	8.525677	8.863228	insufficient_order_stat_support	0.017086	1.050260	-0.010817	0.109500	6	not_ready_high_variance	outliers_6;severe_outlier_blocks_4_gte_2
lsperf	download	iouring	1	throughput_gbps	combined	30	6	5.860761	5.772057	5.898423	0.021561	5.750713	6.599835	1.147655	8.525677	8.863228	insufficient_order_stat_support	0.017086	1.050260	-0.010817	0.109500	6	not_ready_high_variance	outliers_6;severe_outlier_blocks_4_gte_2
lsperf	download	syscall	1	throughput_gbps	discovery	25	5	6.094626	6.044298	6.212869	0.027659	5.811220	6.388720	1.099377	6.481512	6.702241	insufficient_order_stat_support	0.044940	1.092661	-0.023704	0.020597	0	ready	-
lsperf	download	syscall	1	throughput_gbps	combined	25	5	6.094626	6.044298	6.212869	0.027659	5.811220	6.388720	1.099377	6.481512	6.702241	insufficient_order_stat_support	0.044940	1.092661	-0.023704	0.020597	0	ready	-
lsperf	download	syscall	2	throughput_gbps	discovery	30	6	7.317899	7.172760	7.368223	0.026710	7.045474	7.679177	1.089945	7.913253	8.151753	insufficient_order_stat_support	0.031249	1.037360	0.007206	-0.070711	0	ready	-
lsperf	download	syscall	2	throughput_gbps	combined	30	6	7.317899	7.172760	7.368223	0.026710	7.045474	7.679177	1.089945	7.913253	8.151753	insufficient_order_stat_support	0.031249	1.037360	0.007206	-0.070711	0	ready	-
lsperf	download	syscall	3	throughput_gbps	discovery	35	7	7.465902	7.363031	7.582757	0.029431	7.090260	7.766119	1.095322	8.132258	8.592541	insufficient_order_stat_support	0.029113	1.081526	0.026374	-0.075314	0	ready	-
lsperf	download	syscall	3	throughput_gbps	combined	35	7	7.465902	7.363031	7.582757	0.029431	7.090260	7.766119	1.095322	8.132258	8.592541	insufficient_order_stat_support	0.029113	1.081526	0.026374	-0.075314	0	ready	-
lsperf	download	syscall	4	throughput_gbps	discovery	45	9	7.745711	7.522694	7.987107	0.059957	7.377416	8.096910	1.097527	8.241728	8.828441	insufficient_order_stat_support	0.040635	1.136847	-0.016892	0.370820	0	not_ready_high_variance	p50_ci_width_0.0600_gt_0.0300;block_median_ratio_1.1368_gt_1.1000;persistent_block_median_ratio_recent_1.1217_gt_1.1000
lsperf	download	syscall	4	throughput_gbps	combined	45	9	7.745711	7.522694	7.987107	0.059957	7.377416	8.096910	1.097527	8.241728	8.828441	insufficient_order_stat_support	0.040635	1.136847	-0.016892	0.370820	0	not_ready_high_variance	p50_ci_width_0.0600_gt_0.0300;block_median_ratio_1.1368_gt_1.1000;persistent_block_median_ratio_recent_1.1217_gt_1.1000
lsperf	flow_control	iouring	1	throughput_gbps	discovery	40	8	5.035867	4.971146	5.067329	0.019099	4.243418	5.108462	1.203856	5.167506	6.686419	insufficient_order_stat_support	0.018580	1.195708	-0.004435	0.177142	1	not_ready_high_variance	p80_p20_1.2039_gt_1.1500;block_median_ratio_1.1957_gt_1.1000;outliers_1;persistent_block_median_ratio_recent_1.1948_gt_1.1000;persistent_p80_p20_recent_1.2285_gt_1.1500;persistent_outliers_1
lsperf	flow_control	iouring	1	throughput_gbps	combined	40	8	5.035867	4.971146	5.067329	0.019099	4.243418	5.108462	1.203856	5.167506	6.686419	insufficient_order_stat_support	0.018580	1.195708	-0.004435	0.177142	1	not_ready_high_variance	p80_p20_1.2039_gt_1.1500;block_median_ratio_1.1957_gt_1.1000;outliers_1;persistent_block_median_ratio_recent_1.1948_gt_1.1000;persistent_p80_p20_recent_1.2285_gt_1.1500;persistent_outliers_1
lsperf	flow_control	syscall	1	throughput_gbps	discovery	20	4	5.648001	5.572755	5.761387	0.033398	5.548300	5.800525	1.045460	5.993432	6.645616	insufficient_order_stat_support	0.018885	1.034503	-0.002954	0.098504	0	ready	-
lsperf	flow_control	syscall	1	throughput_gbps	combined	20	4	5.648001	5.572755	5.761387	0.033398	5.548300	5.800525	1.045460	5.993432	6.645616	insufficient_order_stat_support	0.018885	1.034503	-0.002954	0.098504	0	ready	-
lsperf	flow_control	syscall	2	throughput_gbps	discovery	30	6	4.991782	4.921681	5.305808	0.076952	4.920618	6.034352	1.226340	6.119610	7.688755	insufficient_order_stat_support	0.025697	1.215608	0.067345	0.056767	2	not_ready_high_variance	p50_ci_width_0.0770_gt_0.0500;p80_p20_1.2263_gt_1.1500;block_median_ratio_1.2156_gt_1.1000;drift_0.0673_gt_0.0300;outliers_2;severe_outlier_blocks_2_gte_2
lsperf	flow_control	syscall	2	throughput_gbps	combined	30	6	4.991782	4.921681	5.305808	0.076952	4.920618	6.034352	1.226340	6.119610	7.688755	insufficient_order_stat_support	0.025697	1.215608	0.067345	0.056767	2	not_ready_high_variance	p50_ci_width_0.0770_gt_0.0500;p80_p20_1.2263_gt_1.1500;block_median_ratio_1.2156_gt_1.1000;drift_0.0673_gt_0.0300;outliers_2;severe_outlier_blocks_2_gte_2
lsperf	loss_recovery	iouring	1	throughput_gbps	discovery	30	6	5.158368	4.007739	5.276436	0.245949	3.813669	5.452174	1.429640	5.583756	6.169660	insufficient_order_stat_support	0.140357	1.383348	0.027320	-0.212497	0	not_ready_high_variance	p50_ci_width_0.2459_gt_0.0800;p80_p20_1.4296_gt_1.1500;block_median_ratio_1.3833_gt_1.1000;severe_block_median_ratio_1.3833_gt_1.2500
lsperf	loss_recovery	iouring	1	throughput_gbps	combined	30	6	5.158368	4.007739	5.276436	0.245949	3.813669	5.452174	1.429640	5.583756	6.169660	insufficient_order_stat_support	0.140357	1.383348	0.027320	-0.212497	0	not_ready_high_variance	p50_ci_width_0.2459_gt_0.0800;p80_p20_1.4296_gt_1.1500;block_median_ratio_1.3833_gt_1.1000;severe_block_median_ratio_1.3833_gt_1.2500
lsperf	loss_recovery	syscall	1	throughput_gbps	discovery	30	6	5.067761	4.229050	5.634732	0.277377	2.769685	5.891306	2.127067	6.029997	6.234683	insufficient_order_stat_support	0.185234	2.220407	-0.147677	0.117421	0	not_ready_high_variance	p50_ci_width_0.2774_gt_0.0800;p80_p20_2.1271_gt_1.1500;block_median_ratio_2.2204_gt_1.1000;drift_-0.1477_gt_0.0300;severe_block_median_ratio_2.2204_gt_1.2500;severe_p80_p20_2.1271_gt_1.5000;severe_drift_-0.1477_gt_0.0800
