binary	scenario	network	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
quinnperf	reqresp	syscall	not_ready	requests_per_second	2	2	3	66512.561798		66512.561798	65494.649298	67566.768015	0.031154	72456.731869	77952.937132	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t3:p80_p20_1.1679_gt_1.1500;block_median_ratio_1.1538_gt_1.1000;persistent_block_median_ratio_recent_1.1538_gt_1.1000;persistent_p80_p20_recent_1.1595_gt_1.1500;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:p80_p20_1.1679_gt_1.1500;block_median_ratio_1.1538_gt_1.1000;persistent_block_median_ratio_recent_1.1538_gt_1.1000;persistent_p80_p20_recent_1.1595_gt_1.1500;missing_confirm_stats;p80_p20_1.1679_gt_1.1500;block_median_ratio_1.1538_gt_1.1000;persistent_block_median_ratio_recent_1.1538_gt_1.1000;persistent_p80_p20_recent_1.1595_gt_1.1500
quinnperf	small_payload_pps	iouring	not_ready	messages_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:outliers_2;severe_outlier_blocks_2_gte_2
quinnperf	small_payload_pps	syscall	not_ready	messages_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:outliers_1;persistent_outliers_1
quinnperf	stream_churn	iouring	not_ready	streams_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:outliers_3;severe_outlier_blocks_2_gte_2
quinnperf	stream_churn	syscall	not_ready	streams_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:outliers_1;persistent_outliers_1
quinnperf	upload	iouring	not_ready	throughput_gbps	1	1	3	3.316395	3.376461	3.325164	3.314285	3.393018	0.023678	3.512612	3.575448	insufficient_order_stat_support	1.000000	1.000000	ok	t1:confirm_p50_ci_width_0.0569_gt_0.0450
quinnperf	upload	syscall	not_ready	throughput_gbps	1	1	3	3.936563	4.164683	4.001466	3.934531	4.133815	0.049803	4.273578	4.620147	insufficient_order_stat_support	1.000000	1.000000	ok	t1:confirm_median_delta_0.0579_gt_0.0450;combined_warning_noisy;p50_ci_width_0.0498_gt_0.0300
s2nperf	bidi	iouring	not_ready	throughput_gbps	1	1	2	3.768669		3.768669	3.687231	3.796393	0.028966	3.962699	4.051580	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t2:outliers_2;severe_outlier_blocks_2_gte_2;t1:missing_confirm_stats;t2:outliers_2;severe_outlier_blocks_2_gte_2;missing_confirm_stats;outliers_2;severe_outlier_blocks_2_gte_2
s2nperf	bidi	syscall	not_ready	throughput_gbps	2	2	3	4.755380		4.755380	4.706578	4.840996	0.028267	5.250460	5.362544	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t3:block_median_ratio_1.1427_gt_1.1000;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:block_median_ratio_1.1427_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1427_gt_1.1000
s2nperf	close_reset_cleanup	iouring	not_ready	streams_per_second	5	5	7	44405.060139	44861.519902	44561.531432	44324.033130	44798.948401	0.010658	46213.315871	47165.363985	insufficient_order_stat_support	1.000000	1.000000	ok	t1:confirm_p80_p20_1.1653_gt_1.1500;confirm_not_ready_high_variance;t4:combined_not_ready_nonstationary;p50_ci_width_0.0617_gt_0.0500;block_median_ratio_1.1148_gt_1.1000;drift_-0.0303_gt_0.0300
s2nperf	close_reset_cleanup	syscall	not_ready	streams_per_second	5	5	7	49705.122189	48417.113338	49453.312790	48482.783688	50084.692874	0.032392	50856.208997	52379.865777	insufficient_order_stat_support	1.000000	1.000000	ok	t2:confirm_p50_ci_width_0.0850_gt_0.0750;combined_not_ready_nonstationary;p50_ci_width_0.0742_gt_0.0500;block_median_ratio_1.1166_gt_1.1000;t3:combined_warning_noisy;p50_ci_width_0.0512_gt_0.0500
s2nperf	connect	iouring	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1838_gt_0.0500;p80_p20_1.2242_gt_1.1500;block_median_ratio_1.2312_gt_1.1000;drift_0.1165_gt_0.0300;severe_drift_0.1165_gt_0.0800
s2nperf	connect	syscall	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p80_p20_1.2345_gt_1.1500;persistent_p80_p20_recent_1.2365_gt_1.1500
s2nperf	datagram	iouring	not_ready	messages_per_second	2	2	3	107194.858164		107194.858164	106620.247987	107492.996684	0.008142	108698.312743	115441.625881	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t3:block_median_ratio_1.1250_gt_1.1000;drift_0.0415_gt_0.0300;persistent_drift_0.0415_gt_0.0300;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:block_median_ratio_1.1250_gt_1.1000;drift_0.0415_gt_0.0300;persistent_drift_0.0415_gt_0.0300;missing_confirm_stats;block_median_ratio_1.1250_gt_1.1000;drift_0.0415_gt_0.0300;persistent_drift_0.0415_gt_0.0300
s2nperf	datagram	syscall	not_ready	messages_per_second	3	3	4	124902.619035		124902.619035	123237.477415	127338.456996	0.032833	130135.871426	133070.889420	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t4:block_median_ratio_1.1068_gt_1.1000;drift_-0.0310_gt_0.0300;persistent_drift_-0.0310_gt_0.0300;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:missing_confirm_stats;t4:block_median_ratio_1.1068_gt_1.1000;drift_-0.0310_gt_0.0300;persistent_drift_-0.0310_gt_0.0300;missing_confirm_stats;block_median_ratio_1.1068_gt_1.1000;drift_-0.0310_gt_0.0300;persistent_drift_-0.0310_gt_0.0300
s2nperf	download	iouring	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:block_median_ratio_1.1518_gt_1.1000
s2nperf	download	syscall	not_ready	throughput_gbps	1	1	2	3.374366		3.374366	3.368927	3.396381	0.008136	3.610379	3.771210	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.2654_gt_0.0300;p80_p20_1.5609_gt_1.1500;block_median_ratio_1.5965_gt_1.1000;drift_-0.1759_gt_0.0300;severe_block_median_ratio_1.5965_gt_1.2500;severe_p80_p20_1.5609_gt_1.5000;severe_drift_-0.1759_gt_0.0800;t1:missing_confirm_stats;t2:p50_ci_width_0.2654_gt_0.0300;p80_p20_1.5609_gt_1.1500;block_median_ratio_1.5965_gt_1.1000;drift_-0.1759_gt_0.0300;severe_block_median_ratio_1.5965_gt_1.2500;severe_p80_p20_1.5609_gt_1.5000;severe_drift_-0.1759_gt_0.0800;missing_confirm_stats;p50_ci_width_0.2654_gt_0.0300;p80_p20_1.5609_gt_1.1500;block_median_ratio_1.5965_gt_1.1000;drift_-0.1759_gt_0.0300;severe_block_median_ratio_1.5965_gt_1.2500;severe_p80_p20_1.5609_gt_1.5000;severe_drift_-0.1759_gt_0.0800
s2nperf	flow_control	iouring	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.2927_gt_0.0500;p80_p20_1.5271_gt_1.1500;block_median_ratio_1.4511_gt_1.1000;drift_0.4145_gt_0.0300;severe_block_median_ratio_1.4511_gt_1.2500;severe_p80_p20_1.5271_gt_1.5000;severe_drift_0.4145_gt_0.0800
s2nperf	flow_control	syscall	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1563_gt_0.0500;p80_p20_1.5740_gt_1.1500;block_median_ratio_1.4038_gt_1.1000;severe_block_median_ratio_1.4038_gt_1.2500;severe_p80_p20_1.5740_gt_1.5000
s2nperf	loss_recovery	iouring	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:block_median_ratio_1.1240_gt_1.1000;persistent_block_median_ratio_recent_1.1010_gt_1.1000
s2nperf	loss_recovery	syscall	not_ready	throughput_gbps	1	1	2	3.100503		3.100503	3.056287	3.109300	0.017098	3.202409	3.331790	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.1514_gt_0.0800;p80_p20_1.3711_gt_1.1500;block_median_ratio_1.3451_gt_1.1000;drift_0.1546_gt_0.0300;severe_block_median_ratio_1.3451_gt_1.2500;severe_drift_0.1546_gt_0.0800;t1:missing_confirm_stats;t2:p50_ci_width_0.1514_gt_0.0800;p80_p20_1.3711_gt_1.1500;block_median_ratio_1.3451_gt_1.1000;drift_0.1546_gt_0.0300;severe_block_median_ratio_1.3451_gt_1.2500;severe_drift_0.1546_gt_0.0800;missing_confirm_stats;p50_ci_width_0.1514_gt_0.0800;p80_p20_1.3711_gt_1.1500;block_median_ratio_1.3451_gt_1.1000;drift_0.1546_gt_0.0300;severe_block_median_ratio_1.3451_gt_1.2500;severe_drift_0.1546_gt_0.0800
s2nperf	multistream_download	iouring	not_ready	throughput_gbps	1	1	2	2.880476		2.880476	2.843452	2.928052	0.029370	3.003290	3.069182	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.1057_gt_0.0300;p80_p20_1.2575_gt_1.1500;block_median_ratio_1.1657_gt_1.1000;drift_0.0830_gt_0.0300;severe_drift_0.0830_gt_0.0800;t1:missing_confirm_stats;t2:p50_ci_width_0.1057_gt_0.0300;p80_p20_1.2575_gt_1.1500;block_median_ratio_1.1657_gt_1.1000;drift_0.0830_gt_0.0300;severe_drift_0.0830_gt_0.0800;missing_confirm_stats;p50_ci_width_0.1057_gt_0.0300;p80_p20_1.2575_gt_1.1500;block_median_ratio_1.1657_gt_1.1000;drift_0.0830_gt_0.0300;severe_drift_0.0830_gt_0.0800
s2nperf	multistream_download	syscall	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0625_gt_0.0300;block_median_ratio_1.1933_gt_1.1000;persistent_block_median_ratio_recent_1.1801_gt_1.1000
s2nperf	multistream_upload	iouring	not_ready	throughput_gbps	2	2	3	4.769279		4.769279	4.711563	4.817908	0.022298	4.985247	5.128827	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t3:block_median_ratio_1.1515_gt_1.1000;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:block_median_ratio_1.1515_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1515_gt_1.1000
