binary	scenario	network	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
noqperf	bidi	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0363_gt_0.0300;block_median_ratio_1.1328_gt_1.1000;persistent_block_median_ratio_recent_1.1319_gt_1.1000
noqperf	close_reset_cleanup	iouring	streams_per_second	2	2	3	1.000000	49065.285223	49065.285223	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t3:block_median_ratio_1.1183_gt_1.1000;drift_-0.0361_gt_0.0300;persistent_drift_-0.0361_gt_0.0300
noqperf	close_reset_cleanup	syscall	streams_per_second	2	2	3	1.000000	58216.744517	58216.744517	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t3:block_median_ratio_1.1089_gt_1.1000;persistent_block_median_ratio_recent_1.1020_gt_1.1000
noqperf	connect	iouring	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p80_p20_1.2135_gt_1.1500;block_median_ratio_1.2237_gt_1.1000;drift_0.0329_gt_0.0300;persistent_block_median_ratio_recent_1.2027_gt_1.1000;persistent_p80_p20_recent_1.1983_gt_1.1500;persistent_drift_0.0329_gt_0.0300
noqperf	connect	syscall	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p80_p20_1.1648_gt_1.1500;block_median_ratio_1.1809_gt_1.1000;persistent_block_median_ratio_recent_1.1418_gt_1.1000
noqperf	download	iouring	throughput_gbps	2	2	4	1.000000	3.354259	3.354259	1.000000	1.000000	1.000000	2	ok	ready	-
noqperf	download	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0552_gt_0.0300;block_median_ratio_1.2193_gt_1.1000;drift_-0.0446_gt_0.0300;persistent_drift_-0.0446_gt_0.0300
noqperf	flow_control	iouring	throughput_gbps	1	1	2	1.000000	2.117350	2.117350	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.1054_gt_0.0500;block_median_ratio_1.3584_gt_1.1000;severe_block_median_ratio_1.3584_gt_1.2500
noqperf	flow_control	syscall	throughput_gbps	1	1	2	1.000000	2.516723	2.516723	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.0701_gt_0.0500;p80_p20_1.3234_gt_1.1500;block_median_ratio_1.2680_gt_1.1000;drift_0.0896_gt_0.0300;severe_block_median_ratio_1.2680_gt_1.2500;severe_drift_0.0896_gt_0.0800
noqperf	loss_recovery	iouring	throughput_gbps	2	2	3	1.000000	2.794414	2.794414	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t3:block_median_ratio_1.1628_gt_1.1000;persistent_block_median_ratio_recent_1.1359_gt_1.1000
noqperf	loss_recovery	syscall	throughput_gbps	1	1	2	1.000000	3.040182	3.040182	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.0822_gt_0.0800;block_median_ratio_1.1191_gt_1.1000;drift_0.1113_gt_0.0300;severe_drift_0.1113_gt_0.0800
noqperf	multistream_download	iouring	throughput_gbps	1	1	2	1.000000	2.663830	2.663830	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.0871_gt_0.0300;p80_p20_1.1834_gt_1.1500;block_median_ratio_1.2468_gt_1.1000;drift_-0.0350_gt_0.0300;persistent_block_median_ratio_recent_1.2468_gt_1.1000;persistent_p80_p20_recent_1.2181_gt_1.1500;persistent_drift_-0.0350_gt_0.0300
noqperf	multistream_download	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0376_gt_0.0300;drift_0.0382_gt_0.0300;persistent_drift_0.0382_gt_0.0300
noqperf	multistream_upload	iouring	throughput_gbps	1	1	2	1.000000	2.801453	2.801453	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.0373_gt_0.0300;block_median_ratio_1.1509_gt_1.1000;drift_0.0410_gt_0.0300;persistent_block_median_ratio_recent_1.1277_gt_1.1000;persistent_drift_0.0410_gt_0.0300
noqperf	multistream_upload	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:block_median_ratio_1.1174_gt_1.1000;persistent_block_median_ratio_recent_1.1174_gt_1.1000
noqperf	reqresp	iouring	requests_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:outliers_3;severe_outlier_blocks_2_gte_2
noqperf	reqresp	syscall	requests_per_second	1	1	2	1.000000	54292.556703	54292.556703	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:block_median_ratio_1.1012_gt_1.1000;persistent_block_median_ratio_recent_1.1012_gt_1.1000
noqperf	small_payload_pps	iouring	messages_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:outliers_3;severe_outlier_blocks_3_gte_2
noqperf	small_payload_pps	syscall	messages_per_second	2	2	3	1.000000	56290.351357	56290.351357	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t3:p50_ci_width_0.0559_gt_0.0500;drift_0.0358_gt_0.0300;persistent_drift_0.0358_gt_0.0300
noqperf	stream_churn	iouring	streams_per_second	1	1	2	1.000000	46359.604379	46359.604379	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:drift_-0.0309_gt_0.0300;outliers_1;persistent_drift_-0.0309_gt_0.0300;persistent_outliers_1
noqperf	stream_churn	syscall	streams_per_second	1	1	2	1.000000	55527.340959	55527.340959	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.0530_gt_0.0500;block_median_ratio_1.1373_gt_1.1000;persistent_block_median_ratio_recent_1.1373_gt_1.1000
noqperf	upload	iouring	throughput_gbps	1	1	3	1.000000	2.926943	2.926943	1.000000	1.000000	1.000000	2	ok	ready	-
noqperf	upload	syscall	throughput_gbps	1	1	3	1.000000	3.332551	3.332551	1.000000	1.000000	1.000000	2	ok	ready	-
picoperf	bidi	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1254_gt_0.0300;p80_p20_1.2836_gt_1.1500;block_median_ratio_1.2975_gt_1.1000;severe_block_median_ratio_1.2975_gt_1.2500
picoperf	bidi	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0994_gt_0.0300;p80_p20_1.3285_gt_1.1500;block_median_ratio_1.2802_gt_1.1000;drift_-0.0468_gt_0.0300;severe_block_median_ratio_1.2802_gt_1.2500
picoperf	close_reset_cleanup	iouring	streams_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:outliers_2;severe_outlier_blocks_2_gte_2
picoperf	close_reset_cleanup	syscall	streams_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0987_gt_0.0500;p80_p20_1.2352_gt_1.1500;block_median_ratio_1.2291_gt_1.1000;drift_-0.1037_gt_0.0300;severe_drift_-0.1037_gt_0.0800
picoperf	connect	iouring	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p80_p20_1.1889_gt_1.1500;block_median_ratio_1.1212_gt_1.1000;drift_0.0422_gt_0.0300;persistent_p80_p20_recent_1.2190_gt_1.1500;persistent_drift_0.0422_gt_0.0300
picoperf	connect	syscall	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.3089_gt_0.0500;p80_p20_1.3942_gt_1.1500;block_median_ratio_1.3928_gt_1.1000;drift_-0.2183_gt_0.0300;severe_block_median_ratio_1.3928_gt_1.2500;severe_drift_-0.2183_gt_0.0800
picoperf	download	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0420_gt_0.0300;block_median_ratio_1.1181_gt_1.1000;persistent_block_median_ratio_recent_1.1067_gt_1.1000
picoperf	download	syscall	throughput_gbps	1	1	2	1.000000	6.840698	6.840698	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.0317_gt_0.0300;block_median_ratio_1.1024_gt_1.1000;drift_0.0306_gt_0.0300;persistent_drift_0.0306_gt_0.0300
picoperf	flow_control	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:outliers_2;severe_outlier_blocks_2_gte_2
picoperf	flow_control	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0562_gt_0.0500;outliers_2;severe_outlier_blocks_2_gte_2
