binary	scenario	network	path_profile	tier	publication_eligible	calibrated	workload_kind	selected_work_units	probe_work_units	target_duration_sec	calibration_duration_sec	timeout_sec	env_overrides	reason
lsperf	bidi	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.723329	15	QUICPERF_BIDI_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	bidi	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.156132	15	QUICPERF_BIDI_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	close_reset_cleanup	iouring	loopback	lifecycle	0	0	operations	1024	0	5.000000	0.000000	30		tier_smoke_no_calibration
lsperf	close_reset_cleanup	syscall	loopback	lifecycle	0	0	operations	1024	0	5.000000	0.000000	30		tier_smoke_no_calibration
lsperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
lsperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
lsperf	datagram	iouring	loopback	publication	1	1	operations	4096	1024	5.000000	1.070358	15	QUICPERF_SCENARIO_OPERATIONS=4096	too_fast_scaled_up;max_scale;validated_scale
lsperf	datagram	syscall	loopback	publication	1	1	operations	4096	1024	5.000000	1.073609	15	QUICPERF_SCENARIO_OPERATIONS=4096	too_fast_scaled_up;max_scale;validated_scale
lsperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.117784	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.108835	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	flow_control	iouring	loopback	publication	1	1	bytes	16777216	16777216	5.000000	1.085238	15	QUICPERF_FLOW_CONTROL_TEST_BYTES=16777216	too_fast_scaled_up;max_scale;max_work_units
lsperf	flow_control	syscall	loopback	publication	1	1	bytes	16777216	16777216	5.000000	1.074915	15	QUICPERF_FLOW_CONTROL_TEST_BYTES=16777216	too_fast_scaled_up;max_scale;max_work_units
lsperf	idle_footprint	iouring	loopback	lifecycle	0	0	fixed	1073741824	0	5.000000	0.000000	30		tier_smoke_no_calibration
lsperf	idle_footprint	syscall	loopback	lifecycle	0	0	fixed	1073741824	0	5.000000	0.000000	30		tier_smoke_no_calibration
lsperf	loss_recovery	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.107245	15	QUICPERF_LOSS_RECOVERY_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	loss_recovery	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.108151	15	QUICPERF_LOSS_RECOVERY_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	multistream_download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.666103	15	QUICPERF_MULTISTREAM_DOWNLOAD_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	multistream_download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.212345	15	QUICPERF_MULTISTREAM_DOWNLOAD_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	multistream_upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.222132	15	QUICPERF_MULTISTREAM_UPLOAD_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	multistream_upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.216491	15	QUICPERF_MULTISTREAM_UPLOAD_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	reqresp	iouring	loopback	lifecycle	0	0	operations	1024	0	5.000000	0.000000	30		tier_smoke_no_calibration
lsperf	reqresp	syscall	loopback	lifecycle	0	0	operations	1024	0	5.000000	0.000000	30		tier_smoke_no_calibration
lsperf	resumed_connect	iouring	loopback	capability	0	0	fixed	1073741824	0	5.000000	0.000000	30		tier_smoke_no_calibration
lsperf	resumed_connect	syscall	loopback	capability	0	0	fixed	1073741824	0	5.000000	0.000000	30		tier_smoke_no_calibration
lsperf	small_payload_pps	iouring	loopback	publication	1	1	operations	4096	1024	5.000000	1.184895	15	QUICPERF_SCENARIO_OPERATIONS=4096	too_fast_scaled_up;max_scale;validated_scale
lsperf	small_payload_pps	syscall	loopback	publication	1	1	operations	4096	1024	5.000000	1.112532	15	QUICPERF_SCENARIO_OPERATIONS=4096	too_fast_scaled_up;max_scale;validated_scale
lsperf	stream_churn	iouring	loopback	lifecycle	0	0	operations	1024	0	5.000000	0.000000	30		tier_smoke_no_calibration
lsperf	stream_churn	syscall	loopback	lifecycle	0	0	operations	1024	0	5.000000	0.000000	30		tier_smoke_no_calibration
