binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
lsperf	bidi	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	7.822681		7.822681	7.822681	7.990367	0.021436	5.464417	5.403358	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-78.43pct_le_1.00pct
lsperf	bidi	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	13.660326		13.660326	13.395053	13.882312	0.035670	12.168159	6.048718	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-49.56pct_le_1.00pct
lsperf	close_reset_cleanup	iouring	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	streams_per_second	1	1	1	90383.210335		90383.210335	90157.463885	90608.956784	0.004995	90202.613175	90161.978814	insufficient_order_stat_support	1.000000	1.000000	tier_smoke	lifecycle_tier_smoke_only
lsperf	close_reset_cleanup	syscall	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	streams_per_second	1	1	1	178037.631522		178037.631522	177316.078724	178759.184320	0.008106	177460.389284	177330.509780	insufficient_order_stat_support	1.000000	1.000000	tier_smoke	lifecycle_tier_smoke_only
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	17	17	18	8885.626414		8885.626414	8885.626414	8942.294966	0.006378	8300.171184	7297.508345	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.39pct_le_1.00pct
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	7	7	8	3752.906776		3752.906776	3463.606911	3945.519014	0.128410	3332.961338	3305.136905	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.91pct_le_1.00pct
lsperf	datagram	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	datagrams_per_second	1	1	2	1176187.963566		1176187.963566	1176045.317111	1178465.306571	0.002057	981012.096378	38300.280594	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-93.58pct_le_1.00pct
lsperf	datagram	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	datagrams_per_second	1	1	2	1159040.174023		1159040.174023	1159040.174023	1171421.175458	0.010682	1132392.360912	1130009.428505	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-49.58pct_le_1.00pct
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	11.340348		11.340348	11.233971	11.566011	0.029279	10.908496	10.770814	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-61.35pct_le_1.00pct
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	11.381341		11.381341	11.216723	11.756309	0.047410	10.857023	10.746490	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-58.86pct_le_1.00pct
lsperf	flow_control	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	8.823987		8.823987	8.706535	8.895725	0.021440	8.494191	8.419960	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-48.16pct_le_1.00pct
lsperf	flow_control	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	10.813879		10.813879	10.761747	10.970903	0.019341	10.596590	10.266336	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-63.55pct_le_1.00pct
lsperf	idle_footprint	iouring	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	server_rss_delta_bytes_per_connection	1	1	1	184320.000000		184320.000000	151552.000000	217088.000000	0.355556	210534.400000	216432.640000	insufficient_order_stat_support	1.000000	1.000000	tier_smoke	lifecycle_tier_smoke_only
lsperf	idle_footprint	syscall	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	server_rss_delta_bytes_per_connection	1	1	1	206848.000000		206848.000000	167936.000000	245760.000000	0.376238	237977.600000	244981.760000	insufficient_order_stat_support	1.000000	1.000000	tier_smoke	lifecycle_tier_smoke_only
lsperf	loss_recovery	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	13.332645		13.332645	13.042813	13.535058	0.036920	12.348607	12.234433	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-56.13pct_le_1.00pct
lsperf	loss_recovery	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	13.038571		13.038571	12.825019	13.038571	0.016378	12.205787	11.393909	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-45.80pct_le_1.00pct
