binary	scenario	network	path_profile	tier	publication_eligible	status	reason	calibrated	workload_kind	selected_work_units	probe_work_units	target_duration_sec	calibration_duration_sec	timeout_sec	env_overrides
mvfstperf	connect	iouring	loopback	publication	1	ok	fixed_workload	0	fixed	1073741824	0	5.000000	0.000000	30	
mvfstperf	connect	syscall	loopback	publication	1	ok	fixed_workload	0	fixed	1073741824	0	5.000000	0.000000	30	
mvfstperf	datagram	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	1.086155	15	QUICPERF_SCENARIO_OPERATIONS=4096
mvfstperf	datagram	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	1.298487	16	QUICPERF_SCENARIO_OPERATIONS=4096
mvfstperf	download	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.157859	15	QUICPERF_TEST_BYTES=67108864
mvfstperf	download	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.157406	15	QUICPERF_TEST_BYTES=67108864
mvfstperf	flow_control	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;max_work_units	1	bytes	16777216	16777216	5.000000	0.129209	15	QUICPERF_FLOW_CONTROL_TEST_BYTES=16777216
mvfstperf	flow_control	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;max_work_units	1	bytes	16777216	16777216	5.000000	0.115621	15	QUICPERF_FLOW_CONTROL_TEST_BYTES=16777216
mvfstperf	idle_footprint	iouring	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	fixed	1073741824	0	5.000000	0.000000	30	
mvfstperf	idle_footprint	syscall	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	fixed	1073741824	0	5.000000	0.000000	30	
mvfstperf	loss_recovery	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.156388	15	QUICPERF_LOSS_RECOVERY_TEST_BYTES=67108864
mvfstperf	loss_recovery	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.159431	15	QUICPERF_LOSS_RECOVERY_TEST_BYTES=67108864
mvfstperf	multistream_download	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.168262	15	QUICPERF_MULTISTREAM_DOWNLOAD_TEST_BYTES=67108864
mvfstperf	multistream_download	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.169104	15	QUICPERF_MULTISTREAM_DOWNLOAD_TEST_BYTES=67108864
mvfstperf	multistream_upload	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.299264	15	QUICPERF_MULTISTREAM_UPLOAD_TEST_BYTES=67108864
mvfstperf	multistream_upload	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.211925	15	QUICPERF_MULTISTREAM_UPLOAD_TEST_BYTES=67108864
mvfstperf	reqresp	iouring	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
mvfstperf	reqresp	syscall	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
mvfstperf	resumed_connect	iouring	loopback	capability	0	ok	tier_smoke_no_calibration	0	fixed	1073741824	0	5.000000	0.000000	30	
mvfstperf	resumed_connect	syscall	loopback	capability	0	ok	tier_smoke_no_calibration	0	fixed	1073741824	0	5.000000	0.000000	30	
mvfstperf	small_payload_pps	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	4.018218	27	QUICPERF_SCENARIO_OPERATIONS=4096
mvfstperf	small_payload_pps	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	4.140087	27	QUICPERF_SCENARIO_OPERATIONS=4096
mvfstperf	stream_churn	iouring	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
mvfstperf	stream_churn	syscall	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
mvfstperf	upload	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.321986	15	QUICPERF_TEST_BYTES=67108864
mvfstperf	upload	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.259728	15	QUICPERF_TEST_BYTES=67108864
mvfstperf	zero_rtt_reqresp	iouring	loopback	capability	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
mvfstperf	zero_rtt_reqresp	syscall	loopback	capability	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
neqoperf	bidi	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.841284	18	QUICPERF_BIDI_TEST_BYTES=67108864
neqoperf	bidi	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.767435	18	QUICPERF_BIDI_TEST_BYTES=67108864
neqoperf	close_reset_cleanup	iouring	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
neqoperf	close_reset_cleanup	syscall	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
neqoperf	connect	iouring	loopback	publication	1	ok	fixed_workload	0	fixed	1073741824	0	5.000000	0.000000	30	
neqoperf	connect	syscall	loopback	publication	1	ok	fixed_workload	0	fixed	1073741824	0	5.000000	0.000000	30	
neqoperf	datagram	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	0.172309	15	QUICPERF_SCENARIO_OPERATIONS=4096
neqoperf	datagram	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	0.171401	15	QUICPERF_SCENARIO_OPERATIONS=4096
neqoperf	download	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.205849	15	QUICPERF_TEST_BYTES=67108864
neqoperf	download	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.202257	15	QUICPERF_TEST_BYTES=67108864
neqoperf	flow_control	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;max_work_units	1	bytes	16777216	16777216	5.000000	1.103125	15	QUICPERF_FLOW_CONTROL_TEST_BYTES=16777216
neqoperf	flow_control	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;max_work_units	1	bytes	16777216	16777216	5.000000	1.103168	15	QUICPERF_FLOW_CONTROL_TEST_BYTES=16777216
neqoperf	idle_footprint	iouring	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	fixed	1073741824	0	5.000000	0.000000	30	
neqoperf	idle_footprint	syscall	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	fixed	1073741824	0	5.000000	0.000000	30	
neqoperf	loss_recovery	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.181085	15	QUICPERF_LOSS_RECOVERY_TEST_BYTES=67108864
neqoperf	loss_recovery	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.179939	15	QUICPERF_LOSS_RECOVERY_TEST_BYTES=67108864
neqoperf	multistream_download	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.217699	15	QUICPERF_MULTISTREAM_DOWNLOAD_TEST_BYTES=67108864
neqoperf	multistream_download	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.602003	17	QUICPERF_MULTISTREAM_DOWNLOAD_TEST_BYTES=67108864
neqoperf	multistream_upload	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.301840	16	QUICPERF_MULTISTREAM_UPLOAD_TEST_BYTES=67108864
neqoperf	multistream_upload	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.526101	17	QUICPERF_MULTISTREAM_UPLOAD_TEST_BYTES=67108864
neqoperf	reqresp	iouring	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
neqoperf	reqresp	syscall	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
neqoperf	resumed_connect	iouring	loopback	capability	0	ok	tier_smoke_no_calibration	0	fixed	1073741824	0	5.000000	0.000000	30	
neqoperf	resumed_connect	syscall	loopback	capability	0	ok	tier_smoke_no_calibration	0	fixed	1073741824	0	5.000000	0.000000	30	
neqoperf	small_payload_pps	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	1.570175	17	QUICPERF_SCENARIO_OPERATIONS=4096
neqoperf	small_payload_pps	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	1.611440	17	QUICPERF_SCENARIO_OPERATIONS=4096
neqoperf	stream_churn	iouring	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
neqoperf	stream_churn	syscall	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
neqoperf	upload	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.206327	15	QUICPERF_TEST_BYTES=67108864
neqoperf	upload	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.216981	15	QUICPERF_TEST_BYTES=67108864
neqoperf	zero_rtt_reqresp	iouring	loopback	capability	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
neqoperf	zero_rtt_reqresp	syscall	loopback	capability	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
