binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	11.340348	11.233971	11.566011	0.029279	1.073149	converged	confirm_disabled
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	4.382538	4.361885	4.401504	0.009040	1.147563	converged	confirm_disabled
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	11.381341	11.216723	11.756309	0.047410	1.180659	converged	p50_ci_width_0.0474_gt_0.0300;p80_p20_1.1807_gt_1.1500;confirm_disabled;p50_ci_width_0.0474_gt_0.0300;p80_p20_1.1807_gt_1.1500
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	4.681759	4.612628	4.793026	0.038532	1.248072	converged	p50_ci_width_0.0385_gt_0.0300;p80_p20_1.2481_gt_1.1500;confirm_disabled;p50_ci_width_0.0385_gt_0.0300;p80_p20_1.2481_gt_1.1500
lsperf	flow_control	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	8.823987	8.706535	8.895725	0.021440	1.049484	converged	confirm_disabled
lsperf	flow_control	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	4.573976	4.368514	5.074580	0.154366	1.591180	converged	p50_ci_width_0.1544_gt_0.0500;p80_p20_1.5912_gt_1.1500;block_median_ratio_1.1616_gt_1.1000;confirm_disabled;p50_ci_width_0.1544_gt_0.0500;p80_p20_1.5912_gt_1.1500;block_median_ratio_1.1616_gt_1.1000
lsperf	flow_control	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	10.813879	10.761747	10.970903	0.019341	1.091856	converged	confirm_disabled
lsperf	flow_control	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	3.941256	3.908546	4.245984	0.085617	1.223606	converged	p50_ci_width_0.0856_gt_0.0500;p80_p20_1.2236_gt_1.1500;confirm_disabled;p50_ci_width_0.0856_gt_0.0500;p80_p20_1.2236_gt_1.1500
lsperf	idle_footprint	iouring	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	server_rss_delta_bytes_per_connection	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	184320.000000	151552.000000	217088.000000	0.355556	1.238806	converged	blocks_1_lt_2;samples_2_lt_20;p80_p20_1.2388_gt_1.1500;lifecycle_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20;p80_p20_1.2388_gt_1.1500
lsperf	idle_footprint	syscall	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	server_rss_delta_bytes_per_connection	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	206848.000000	167936.000000	245760.000000	0.376238	1.254464	converged	blocks_1_lt_2;samples_2_lt_20;p80_p20_1.2545_gt_1.1500;lifecycle_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20;p80_p20_1.2545_gt_1.1500
lsperf	loss_recovery	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	13.332645	13.042813	13.535058	0.036920	1.135027	converged	confirm_disabled
lsperf	loss_recovery	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	5.848809	5.504818	6.314843	0.138494	1.390382	converged	p50_ci_width_0.1385_gt_0.0800;p80_p20_1.3904_gt_1.1500;block_median_ratio_1.1471_gt_1.1000;confirm_disabled;p50_ci_width_0.1385_gt_0.0800;p80_p20_1.3904_gt_1.1500;block_median_ratio_1.1471_gt_1.1000
lsperf	loss_recovery	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	13.038571	12.825019	13.038571	0.016378	1.151886	converged	p80_p20_1.1519_gt_1.1500;confirm_disabled;p80_p20_1.1519_gt_1.1500
lsperf	loss_recovery	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	7.066549	6.894672	7.066549	0.024323	1.286542	converged	p80_p20_1.2865_gt_1.1500;confirm_disabled;p80_p20_1.2865_gt_1.1500
lsperf	multistream_download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	10.700913	6.727525	11.234398	0.421167	3.129772	converged	p50_ci_width_0.4212_gt_0.0300;p80_p20_3.1298_gt_1.1500;block_median_ratio_1.6699_gt_1.1000;confirm_disabled;p50_ci_width_0.4212_gt_0.0300;p80_p20_3.1298_gt_1.1500;block_median_ratio_1.6699_gt_1.1000
lsperf	multistream_download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	0.332128	0.330302	0.332877	0.007750	1.504187	converged	p80_p20_1.5042_gt_1.1500;confirm_disabled;p80_p20_1.5042_gt_1.1500
lsperf	multistream_download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	selected_saturation	converged	converged	converged	20	4.230865	4.108784	4.278583	0.040134	1.314702	converged	p50_ci_width_0.0401_gt_0.0300;p80_p20_1.3147_gt_1.1500;confirm_disabled;p50_ci_width_0.0401_gt_0.0300;p80_p20_1.3147_gt_1.1500
lsperf	multistream_download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	4	plateau_sentinel+post_selected	converged	converged	converged	20	3.784037	3.748790	3.826754	0.020603	1.225175	converged	p80_p20_1.2252_gt_1.1500;confirm_disabled;p80_p20_1.2252_gt_1.1500
lsperf	multistream_upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	selected_saturation	converged	converged	converged	20	14.291707	10.988940	14.291707	0.231097	2.171290	converged	p50_ci_width_0.2311_gt_0.0300;p80_p20_2.1713_gt_1.1500;block_median_ratio_1.3006_gt_1.1000;confirm_disabled;p50_ci_width_0.2311_gt_0.0300;p80_p20_2.1713_gt_1.1500;block_median_ratio_1.3006_gt_1.1000
lsperf	multistream_upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	plateau_sentinel+post_selected	converged	converged	converged	20	12.910145	10.455654	17.989784	0.583582	1.853210	converged	p50_ci_width_0.5836_gt_0.0300;p80_p20_1.8532_gt_1.1500;block_median_ratio_1.7206_gt_1.1000;confirm_disabled;p50_ci_width_0.5836_gt_0.0300;p80_p20_1.8532_gt_1.1500;block_median_ratio_1.7206_gt_1.1000
