binary	scenario	network	path_profile	metric	capacity_index	curve_efficiency	client_count_efficiency	score	selected_threads	combined_p50
quicheperf	bidi	syscall	loopback	throughput_gbps	0.562161	0.917905	0.200000	59.677303	5	11.215272
quiczigperf	bidi	syscall	loopback	throughput_gbps	0.500592	1.000000	1.000000	70.035536	1	9.986950
quinnperf	bidi	syscall	loopback	throughput_gbps	0.208259	0.980729	0.500000	44.513743	2	4.154819
s2nperf	bidi	syscall	loopback	throughput_gbps	0.272888	0.867469	0.333333	43.059991	3	5.444185
tquicperf	bidi	syscall	loopback	throughput_gbps	0.439590	0.901697	0.500000	56.417800	2	8.769929
xquicperf	bidi	syscall	loopback	throughput_gbps	0.120268	0.965507	0.500000	38.853777	2	2.399387
lsperf	connect	iouring	loopback	connections_per_second	0.913261	0.741711	0.411765	79.514886	17	8885.626414
mvfstperf	connect	iouring	loopback	connections_per_second	0.102447	0.788559	0.538462	33.937732	13	996.768018
neqoperf	connect	iouring	loopback	connections_per_second	0.085953	0.779000	1.000000	39.632157	7	836.283367
ngtcp2perf	connect	iouring	loopback	connections_per_second	1.000000	0.735161	0.411765	84.555491	17	9729.563602
noqperf	connect	iouring	loopback	connections_per_second	0.655306	0.743003	0.583333	66.643461	12	6375.846019
picoperf	connect	iouring	loopback	connections_per_second	0.439522	0.766940	0.636364	55.090284	11	4276.360258
quicheperf	connect	iouring	loopback	connections_per_second	0.590871	0.733499	0.583333	62.539729	12	5748.916100
quiczigperf	connect	iouring	loopback	connections_per_second	0.393514	0.801886	0.538462	51.734914	13	3828.718324
quinnperf	connect	iouring	loopback	connections_per_second	0.717024	0.762775	0.538462	70.167728	13	6976.328106
s2nperf	connect	iouring	loopback	connections_per_second	0.598974	0.722565	0.583333	62.752533	12	5827.752360
tquicperf	connect	iouring	loopback	connections_per_second	0.709694	0.680159	0.700000	70.085577	10	6905.008431
xquicperf	connect	iouring	loopback	connections_per_second	0.878577	0.742782	0.411765	77.460635	17	8548.171310
lsperf	connect	syscall	loopback	connections_per_second	1.000000	0.791002	0.428571	86.203613	7	3752.906776
mvfstperf	connect	syscall	loopback	connections_per_second	0.253984	0.786031	0.230769	38.351354	13	953.178972
neqoperf	connect	syscall	loopback	connections_per_second	0.241608	0.731781	0.375000	38.415990	8	906.732104
ngtcp2perf	connect	syscall	loopback	connections_per_second	0.680093	0.725140	1.000000	73.934114	3	2552.327133
noqperf	connect	syscall	loopback	connections_per_second	0.856858	0.819482	0.333333	76.898548	9	3215.708641
picoperf	connect	syscall	loopback	connections_per_second	0.580783	0.816467	0.428571	61.687236	7	2179.625804
quicheperf	connect	syscall	loopback	connections_per_second	0.523097	0.739037	1.000000	64.861740	3	1963.133517
quiczigperf	connect	syscall	loopback	connections_per_second	0.626413	0.785264	0.500000	64.716417	6	2350.871212
quinnperf	connect	syscall	loopback	connections_per_second	0.803052	0.721237	1.000000	81.214071	3	3013.780266
s2nperf	connect	syscall	loopback	connections_per_second	0.720757	0.759254	0.600000	71.226760	5	2704.932934
tquicperf	connect	syscall	loopback	connections_per_second	0.808829	0.809060	0.250000	72.506218	12	3035.458334
xquicperf	connect	syscall	loopback	connections_per_second	0.969593	0.730224	0.428571	82.859758	7	3638.792338
lsperf	datagram	iouring	loopback	datagrams_per_second	0.340256	1.000000	1.000000	60.415355	1	1176187.963566
mvfstperf	datagram	iouring	loopback	datagrams_per_second	0.093116	1.000000	1.000000	45.586981	1	321882.211209
neqoperf	datagram	iouring	loopback	datagrams_per_second	0.058863	0.655705	0.035714	20.460120	28	203476.825321
ngtcp2perf	datagram	iouring	loopback	datagrams_per_second	0.363227	0.940811	0.333333	50.313914	3	1255595.452014
noqperf	datagram	iouring	loopback	datagrams_per_second	0.525966	1.000000	1.000000	71.557967	1	1818146.176629
picoperf	datagram	iouring	loopback	datagrams_per_second	0.689048	1.000000	1.000000	81.342855	1	2381882.045935
quicheperf	datagram	iouring	loopback	datagrams_per_second	1.000000	0.878748	0.333333	86.968691	3	3456774.390252
quiczigperf	datagram	iouring	loopback	datagrams_per_second	0.653134	0.987408	0.500000	71.373222	2	2257736.570625
quinnperf	datagram	iouring	loopback	datagrams_per_second	0.710336	0.915085	0.500000	72.997278	2	2455470.290340
s2nperf	datagram	iouring	loopback	datagrams_per_second	0.069734	0.596209	0.066667	20.089279	15	241055.657001
tquicperf	datagram	iouring	loopback	datagrams_per_second	0.196564	0.908299	0.333333	39.501352	3	679478.910349
xquicperf	datagram	iouring	loopback	datagrams_per_second	0.035524	1.000000	1.000000	42.131415	1	122796.995986
lsperf	datagram	syscall	loopback	datagrams_per_second	0.360921	1.000000	1.000000	61.655234	1	1159040.174023
mvfstperf	datagram	syscall	loopback	datagrams_per_second	0.005023	1.000000	1.000000	40.301374	1	16130.284330
neqoperf	datagram	syscall	loopback	datagrams_per_second	0.056685	0.649491	0.041667	20.263367	24	182034.467589
ngtcp2perf	datagram	syscall	loopback	datagrams_per_second	0.393244	0.944378	0.333333	52.204099	3	1262842.686232
noqperf	datagram	syscall	loopback	datagrams_per_second	0.557116	1.000000	1.000000	73.426933	1	1789089.837201
picoperf	datagram	syscall	loopback	datagrams_per_second	0.615582	0.656571	0.200000	56.349202	5	1976846.431050
quicheperf	datagram	syscall	loopback	datagrams_per_second	1.000000	0.924162	0.500000	90.604051	2	3211344.240562
quiczigperf	datagram	syscall	loopback	datagrams_per_second	0.732076	1.000000	1.000000	83.924585	1	2350949.373561
quinnperf	datagram	syscall	loopback	datagrams_per_second	0.911296	0.859622	0.333333	81.168305	3	2926484.251687
s2nperf	datagram	syscall	loopback	datagrams_per_second	0.156160	0.542200	0.035714	23.460329	28	501483.826018
tquicperf	datagram	syscall	loopback	datagrams_per_second	0.217383	0.938339	0.500000	44.001429	2	698090.621319
xquicperf	datagram	syscall	loopback	datagrams_per_second	0.063805	0.961849	0.500000	35.374538	2	204900.222421
lsperf	download	iouring	loopback	throughput_gbps	0.697860	1.000000	1.000000	81.871585	1	11.340348
mvfstperf	download	iouring	loopback	throughput_gbps	0.391287	1.000000	1.000000	63.477213	1	6.358483
neqoperf	download	iouring	loopback	throughput_gbps	0.257230	1.000000	1.000000	55.433799	1	4.180034
ngtcp2perf	download	iouring	loopback	throughput_gbps	1.000000	0.967801	0.333333	89.195034	3	16.250182
noqperf	download	iouring	loopback	throughput_gbps	0.327786	0.819451	0.500000	47.653436	2	5.326581
picoperf	download	iouring	loopback	throughput_gbps	0.323390	1.000000	1.000000	59.403413	1	5.255150
quicheperf	download	iouring	loopback	throughput_gbps	0.478253	0.979344	0.333333	58.178767	3	7.771694
quiczigperf	download	iouring	loopback	throughput_gbps	0.572785	1.000000	1.000000	74.367098	1	9.307860
quinnperf	download	iouring	loopback	throughput_gbps	0.380331	0.817041	0.500000	50.745908	2	6.180452
s2nperf	download	iouring	loopback	throughput_gbps	0.338050	0.912347	0.166667	45.591655	6	5.493367
tquicperf	download	iouring	loopback	throughput_gbps	0.403157	0.969878	0.333333	53.436395	3	6.551381
xquicperf	download	iouring	loopback	throughput_gbps	0.210921	0.762459	0.333333	36.716758	3	3.427508
lsperf	download	syscall	loopback	throughput_gbps	0.714960	1.000000	1.000000	82.897587	1	11.381341
mvfstperf	download	syscall	loopback	throughput_gbps	0.380280	0.999506	0.500000	55.304479	2	6.053629
neqoperf	download	syscall	loopback	throughput_gbps	0.259446	1.000000	1.000000	55.566740	1	4.130078
ngtcp2perf	download	syscall	loopback	throughput_gbps	1.000000	0.979773	0.500000	91.994314	2	15.918855
noqperf	download	syscall	loopback	throughput_gbps	0.311439	0.856559	0.333333	45.100331	3	4.957757
picoperf	download	syscall	loopback	throughput_gbps	0.493925	1.000000	1.000000	69.635502	1	7.862721
quicheperf	download	syscall	loopback	throughput_gbps	0.599504	0.974916	0.500000	67.843145	2	9.543420
quiczigperf	download	syscall	loopback	throughput_gbps	0.601402	1.000000	1.000000	76.084093	1	9.573624
quinnperf	download	syscall	loopback	throughput_gbps	0.382036	0.842443	0.333333	48.983245	3	6.081578
s2nperf	download	syscall	loopback	throughput_gbps	0.343980	0.936952	0.250000	47.812602	4	5.475770
tquicperf	download	syscall	loopback	throughput_gbps	0.463341	1.000000	1.000000	67.800474	1	7.375862
xquicperf	download	syscall	loopback	throughput_gbps	0.287577	0.763156	0.500000	43.833500	2	4.577892
lsperf	flow_control	iouring	loopback	throughput_gbps	0.659561	1.000000	1.000000	79.573639	1	8.823987
mvfstperf	flow_control	iouring	loopback	throughput_gbps	0.427443	0.845532	0.142857	48.927717	7	5.718577
neqoperf	flow_control	iouring	loopback	throughput_gbps	0.341137	1.000000	1.000000	60.468226	1	4.563931
ngtcp2perf	flow_control	iouring	loopback	throughput_gbps	1.000000	0.915219	0.200000	85.880484	5	13.378583
noqperf	flow_control	iouring	loopback	throughput_gbps	0.270494	0.870408	0.200000	40.989848	5	3.618830
picoperf	flow_control	iouring	loopback	throughput_gbps	0.632600	1.000000	1.000000	77.955988	1	8.463289
quicheperf	flow_control	iouring	loopback	throughput_gbps	0.683368	0.897623	0.250000	67.192660	4	9.142494
quiczigperf	flow_control	iouring	loopback	throughput_gbps	0.215938	0.686354	0.500000	37.615115	2	2.888940
quinnperf	flow_control	iouring	loopback	throughput_gbps	0.352861	0.803561	0.200000	44.260703	5	4.720783
s2nperf	flow_control	iouring	loopback	throughput_gbps	0.305736	0.610835	0.500000	41.115045	2	4.090315
tquicperf	flow_control	iouring	loopback	throughput_gbps	0.532277	0.901737	0.200000	57.480065	5	7.121116
xquicperf	flow_control	iouring	loopback	throughput_gbps	0.265313	0.886525	0.500000	45.581871	2	3.549507
lsperf	flow_control	syscall	loopback	throughput_gbps	0.819360	1.000000	1.000000	89.161623	1	10.813879
mvfstperf	flow_control	syscall	loopback	throughput_gbps	0.409991	0.870590	0.166667	48.864237	6	5.411048
neqoperf	flow_control	syscall	loopback	throughput_gbps	0.302484	1.000000	1.000000	58.149048	1	3.992171
ngtcp2perf	flow_control	syscall	loopback	throughput_gbps	1.000000	0.927838	0.500000	90.695954	2	13.197952
noqperf	flow_control	syscall	loopback	throughput_gbps	0.291475	0.805731	0.250000	41.381762	4	3.846869
picoperf	flow_control	syscall	loopback	throughput_gbps	0.555148	1.000000	1.000000	73.308904	1	7.326822
quicheperf	flow_control	syscall	loopback	throughput_gbps	0.708849	0.835851	0.500000	70.927214	2	9.355353
quiczigperf	flow_control	syscall	loopback	throughput_gbps	0.152804	0.726495	0.500000	34.830608	2	2.016700
quinnperf	flow_control	syscall	loopback	throughput_gbps	0.367458	0.805941	0.200000	45.195999	5	4.849690
s2nperf	flow_control	syscall	loopback	throughput_gbps	0.322029	0.667484	0.500000	43.508826	2	4.250118
tquicperf	flow_control	syscall	loopback	throughput_gbps	0.519139	0.885279	0.333333	58.280309	3	6.851569
xquicperf	flow_control	syscall	loopback	throughput_gbps	0.274958	0.890538	0.500000	46.260908	2	3.628876
lsperf	loss_recovery	iouring	loopback	throughput_gbps	0.884966	1.000000	1.000000	93.097933	1	13.332645
mvfstperf	loss_recovery	iouring	loopback	throughput_gbps	0.411502	1.000000	1.000000	64.690117	1	6.199574
neqoperf	loss_recovery	iouring	loopback	throughput_gbps	0.347301	0.960549	0.500000	52.351755	2	5.232333
ngtcp2perf	loss_recovery	iouring	loopback	throughput_gbps	1.000000	0.964874	0.333333	89.121859	3	15.065722
noqperf	loss_recovery	iouring	loopback	throughput_gbps	0.305130	0.886588	0.500000	47.972489	2	4.597001
picoperf	loss_recovery	iouring	loopback	throughput_gbps	0.357399	1.000000	1.000000	61.443956	1	5.384478
quicheperf	loss_recovery	iouring	loopback	throughput_gbps	0.574746	0.995438	0.500000	66.870682	2	8.658956
quiczigperf	loss_recovery	iouring	loopback	throughput_gbps	0.507692	1.000000	1.000000	70.461538	1	7.648751
quinnperf	loss_recovery	iouring	loopback	throughput_gbps	0.384885	0.848833	0.500000	51.813945	2	5.798573
s2nperf	loss_recovery	iouring	loopback	throughput_gbps	0.364282	0.863717	0.200000	46.449848	5	5.488171
tquicperf	loss_recovery	iouring	loopback	throughput_gbps	0.477868	0.984011	0.500000	60.772328	2	7.199421
xquicperf	loss_recovery	iouring	loopback	throughput_gbps	0.236299	0.916607	0.333333	42.093087	3	3.560009
lsperf	loss_recovery	syscall	loopback	throughput_gbps	0.886455	1.000000	1.000000	93.187327	1	13.038571
mvfstperf	loss_recovery	syscall	loopback	throughput_gbps	0.430416	0.964752	0.200000	52.943755	5	6.330840
neqoperf	loss_recovery	syscall	loopback	throughput_gbps	0.359376	0.961996	0.500000	53.112434	2	5.285935
ngtcp2perf	loss_recovery	syscall	loopback	throughput_gbps	1.000000	0.978450	0.333333	89.461240	3	14.708659
noqperf	loss_recovery	syscall	loopback	throughput_gbps	0.318310	0.883222	0.333333	46.179159	3	4.681918
picoperf	loss_recovery	syscall	loopback	throughput_gbps	0.304385	1.000000	1.000000	58.263099	1	4.477095
quicheperf	loss_recovery	syscall	loopback	throughput_gbps	0.605390	0.974678	0.500000	68.190331	2	8.904470
quiczigperf	loss_recovery	syscall	loopback	throughput_gbps	0.581283	1.000000	1.000000	74.876958	1	8.549888
quinnperf	loss_recovery	syscall	loopback	throughput_gbps	0.385602	0.835728	0.250000	47.779321	4	5.671686
s2nperf	loss_recovery	syscall	loopback	throughput_gbps	0.369591	0.930151	0.250000	49.179246	4	5.436191
tquicperf	loss_recovery	syscall	loopback	throughput_gbps	0.474402	0.997399	0.500000	60.899122	2	6.977824
xquicperf	loss_recovery	syscall	loopback	throughput_gbps	0.263197	0.906598	0.142857	40.599652	7	3.871279
lsperf	multistream_download	iouring	loopback	throughput_gbps	0.675601	1.000000	1.000000	80.536075	1	10.700913
mvfstperf	multistream_download	iouring	loopback	throughput_gbps	0.371966	0.997596	0.500000	54.757884	2	5.891610
neqoperf	multistream_download	iouring	loopback	throughput_gbps	0.195280	0.905111	0.500000	41.844552	2	3.093055
ngtcp2perf	multistream_download	iouring	loopback	throughput_gbps	1.000000	1.000000	1.000000	100.000000	1	15.839096
noqperf	multistream_download	iouring	loopback	throughput_gbps	0.335980	0.824674	0.500000	48.275651	2	5.321618
picoperf	multistream_download	iouring	loopback	throughput_gbps	0.385637	1.000000	1.000000	63.138237	1	6.108146
quicheperf	multistream_download	iouring	loopback	throughput_gbps	0.508820	0.998513	0.500000	62.992017	2	8.059246
quiczigperf	multistream_download	iouring	loopback	throughput_gbps	0.516391	1.000000	1.000000	70.983477	1	8.179171
quinnperf	multistream_download	iouring	loopback	throughput_gbps	0.405071	0.803998	0.500000	51.904214	2	6.415961
s2nperf	multistream_download	iouring	loopback	throughput_gbps	0.320095	0.826102	0.142857	42.001103	7	5.070017
tquicperf	multistream_download	iouring	loopback	throughput_gbps	0.403531	0.972288	0.500000	56.019032	2	6.391561
xquicperf	multistream_download	iouring	loopback	throughput_gbps	0.284705	0.636190	0.500000	40.487058	2	4.509473
lsperf	multistream_download	syscall	loopback	throughput_gbps	0.265291	0.953393	0.333333	44.752291	3	4.230865
mvfstperf	multistream_download	syscall	loopback	throughput_gbps	0.363519	1.000000	1.000000	61.811143	1	5.797401
neqoperf	multistream_download	syscall	loopback	throughput_gbps	0.191484	0.711145	0.500000	36.767673	2	3.053791
ngtcp2perf	multistream_download	syscall	loopback	throughput_gbps	1.000000	0.943970	0.333333	88.599250	3	15.947998
noqperf	multistream_download	syscall	loopback	throughput_gbps	0.328070	0.779670	0.500000	46.675954	2	5.232061
picoperf	multistream_download	syscall	loopback	throughput_gbps	0.500907	1.000000	1.000000	70.054402	1	7.988459
quicheperf	multistream_download	syscall	loopback	throughput_gbps	0.587976	0.970893	0.333333	64.550851	3	9.377034
quiczigperf	multistream_download	syscall	loopback	throughput_gbps	0.486005	1.000000	1.000000	69.160271	1	7.750799
quinnperf	multistream_download	syscall	loopback	throughput_gbps	0.396673	0.768336	0.500000	50.508773	2	6.326139
s2nperf	multistream_download	syscall	loopback	throughput_gbps	0.320740	0.815439	0.333333	44.630350	3	5.115153
tquicperf	multistream_download	syscall	loopback	throughput_gbps	0.415200	0.996939	0.500000	57.335496	2	6.621615
xquicperf	multistream_download	syscall	loopback	throughput_gbps	0.456501	0.740370	0.250000	49.649275	4	7.280271
lsperf	multistream_upload	iouring	loopback	throughput_gbps	0.604662	0.730376	0.500000	62.039089	2	14.291707
mvfstperf	multistream_upload	iouring	loopback	throughput_gbps	0.304066	0.746510	0.071429	37.978163	14	7.186876
neqoperf	multistream_upload	iouring	loopback	throughput_gbps	0.109308	0.827782	0.333333	32.253027	3	2.583587
ngtcp2perf	multistream_upload	iouring	loopback	throughput_gbps	1.000000	0.865152	0.333333	86.628795	3	23.635876
noqperf	multistream_upload	iouring	loopback	throughput_gbps	0.143041	1.000000	1.000000	48.582462	1	3.380900
picoperf	multistream_upload	iouring	loopback	throughput_gbps	0.476112	0.882580	0.166667	53.131190	6	11.253317
quicheperf	multistream_upload	iouring	loopback	throughput_gbps	0.530226	0.833463	0.250000	56.400137	4	12.532360
quiczigperf	multistream_upload	iouring	loopback	throughput_gbps	0.357250	1.000000	1.000000	61.435029	1	8.443928
quinnperf	multistream_upload	iouring	loopback	throughput_gbps	0.169332	1.000000	1.000000	50.159897	1	4.002301
s2nperf	multistream_upload	iouring	loopback	throughput_gbps	0.229058	0.774990	0.250000	36.868227	4	5.413989
tquicperf	multistream_upload	iouring	loopback	throughput_gbps	0.404490	0.814272	0.500000	52.126214	2	9.560485
xquicperf	multistream_upload	iouring	loopback	throughput_gbps	0.061673	0.896895	0.333333	31.122782	3	1.457705
lsperf	multistream_upload	syscall	loopback	throughput_gbps	0.548301	0.673505	0.200000	52.735662	5	14.567251
mvfstperf	multistream_upload	syscall	loopback	throughput_gbps	0.297449	0.745912	0.062500	37.432235	16	7.902622
neqoperf	multistream_upload	syscall	loopback	throughput_gbps	0.099235	0.745728	0.333333	29.597308	3	2.636475
ngtcp2perf	multistream_upload	syscall	loopback	throughput_gbps	1.000000	0.836802	0.333333	85.920060	3	26.568005
noqperf	multistream_upload	syscall	loopback	throughput_gbps	0.112759	1.000000	1.000000	46.765523	1	2.995774
picoperf	multistream_upload	syscall	loopback	throughput_gbps	0.409429	0.817788	0.500000	52.510410	2	10.877702
quicheperf	multistream_upload	syscall	loopback	throughput_gbps	0.515822	0.854279	0.200000	55.306265	5	13.704350
quiczigperf	multistream_upload	syscall	loopback	throughput_gbps	0.355700	0.962190	0.250000	49.146730	4	9.450230
quinnperf	multistream_upload	syscall	loopback	throughput_gbps	0.129901	1.000000	1.000000	47.794075	1	3.451217
s2nperf	multistream_upload	syscall	loopback	throughput_gbps	0.206799	0.911936	0.200000	38.206326	5	5.494236
tquicperf	multistream_upload	syscall	loopback	throughput_gbps	0.416921	0.838022	0.333333	50.965816	3	11.076759
xquicperf	multistream_upload	syscall	loopback	throughput_gbps	0.119959	0.917953	0.250000	33.896337	4	3.187061
lsperf	small_payload_pps	iouring	loopback	messages_per_second	0.024709	1.000000	1.000000	41.482552	1	32939.523730
mvfstperf	small_payload_pps	iouring	loopback	messages_per_second	0.001944	0.767490	0.125000	21.178914	8	2591.857784
neqoperf	small_payload_pps	iouring	loopback	messages_per_second	0.010973	0.880247	0.250000	26.414542	4	14627.670038
ngtcp2perf	small_payload_pps	iouring	loopback	messages_per_second	0.032489	1.000000	1.000000	41.949325	1	43310.333548
noqperf	small_payload_pps	iouring	loopback	messages_per_second	0.037565	0.941027	0.500000	33.279595	2	50077.931368
picoperf	small_payload_pps	iouring	loopback	messages_per_second	1.000000	0.803464	0.125000	81.961588	8	1333087.199791
quicheperf	small_payload_pps	iouring	loopback	messages_per_second	0.052401	0.803711	0.500000	30.736824	2	69854.913931
quiczigperf	small_payload_pps	iouring	loopback	messages_per_second	0.002402	1.000000	1.000000	40.144094	1	3201.492006
quinnperf	small_payload_pps	iouring	loopback	messages_per_second	0.041864	0.970641	0.500000	34.277845	2	55808.162557
s2nperf	small_payload_pps	iouring	loopback	messages_per_second	0.031271	0.891356	0.333333	29.160161	3	41687.215565
tquicperf	small_payload_pps	iouring	loopback	messages_per_second	0.168524	0.794698	0.142857	32.121753	7	224657.240508
xquicperf	small_payload_pps	iouring	loopback	messages_per_second	0.043275	0.810603	0.333333	27.861590	3	57689.942096
lsperf	small_payload_pps	syscall	loopback	messages_per_second	0.070495	1.000000	1.000000	44.229716	1	91119.913021
mvfstperf	small_payload_pps	syscall	loopback	messages_per_second	0.002041	0.797119	0.100000	21.550448	10	2638.535440
neqoperf	small_payload_pps	syscall	loopback	messages_per_second	0.011990	0.823954	0.333333	26.318257	3	15497.978097
ngtcp2perf	small_payload_pps	syscall	loopback	messages_per_second	0.078000	0.986515	0.500000	36.842891	2	100820.794495
noqperf	small_payload_pps	syscall	loopback	messages_per_second	0.037918	0.951630	0.500000	33.565812	2	49010.968957
picoperf	small_payload_pps	syscall	loopback	messages_per_second	1.000000	0.747510	0.200000	81.687744	5	1292567.956182
quicheperf	small_payload_pps	syscall	loopback	messages_per_second	0.062773	0.756401	0.500000	30.176405	2	81138.152797
quiczigperf	small_payload_pps	syscall	loopback	messages_per_second	0.002404	1.000000	1.000000	40.144258	1	3107.728824
quinnperf	small_payload_pps	syscall	loopback	messages_per_second	0.042132	0.949068	0.500000	33.754651	2	54458.867126
s2nperf	small_payload_pps	syscall	loopback	messages_per_second	0.032327	0.921536	0.200000	27.977996	5	41784.394824
tquicperf	small_payload_pps	syscall	loopback	messages_per_second	0.181070	0.729303	0.200000	32.096785	5	234045.363915
xquicperf	small_payload_pps	syscall	loopback	messages_per_second	0.037695	0.814391	0.076923	23.775308	13	48722.869325
lsperf	upload	iouring	loopback	throughput_gbps	0.882204	0.854254	0.166667	76.788585	6	20.749546
mvfstperf	upload	iouring	loopback	throughput_gbps	0.287394	0.754074	0.071429	37.166944	14	6.759550
neqoperf	upload	iouring	loopback	throughput_gbps	0.171163	1.000000	1.000000	50.269782	1	4.025776
ngtcp2perf	upload	iouring	loopback	throughput_gbps	1.000000	0.811700	0.500000	87.792490	2	23.520126
noqperf	upload	iouring	loopback	throughput_gbps	0.147761	1.000000	1.000000	48.865641	1	3.475350
picoperf	upload	iouring	loopback	throughput_gbps	0.468026	0.758228	0.333333	52.037300	3	11.008042
quicheperf	upload	iouring	loopback	throughput_gbps	0.552446	0.856631	0.200000	57.562505	5	12.993588
quiczigperf	upload	iouring	loopback	throughput_gbps	0.385183	1.000000	1.000000	63.110960	1	9.059545
quinnperf	upload	iouring	loopback	throughput_gbps	0.186375	1.000000	1.000000	51.182522	1	4.383572
s2nperf	upload	iouring	loopback	throughput_gbps	0.235853	0.938256	0.250000	41.357573	4	5.547288
tquicperf	upload	iouring	loopback	throughput_gbps	0.407734	0.871880	0.333333	51.261051	3	9.589961
xquicperf	upload	iouring	loopback	throughput_gbps	0.073150	1.000000	1.000000	44.388994	1	1.720495
lsperf	upload	syscall	loopback	throughput_gbps	0.866061	0.825303	0.200000	75.596252	5	22.930467
mvfstperf	upload	syscall	loopback	throughput_gbps	0.263974	0.780525	0.066667	36.351593	15	6.989180
neqoperf	upload	syscall	loopback	throughput_gbps	0.157956	1.000000	1.000000	49.477336	1	4.182148
ngtcp2perf	upload	syscall	loopback	throughput_gbps	1.000000	0.866105	0.250000	85.402637	4	26.476731
noqperf	upload	syscall	loopback	throughput_gbps	0.113578	1.000000	1.000000	46.814700	1	3.007183
picoperf	upload	syscall	loopback	throughput_gbps	0.368993	0.856992	0.500000	51.064397	2	9.769731
quicheperf	upload	syscall	loopback	throughput_gbps	0.526846	0.874226	0.200000	56.466417	5	13.949168
quiczigperf	upload	syscall	loopback	throughput_gbps	0.352030	1.000000	1.000000	61.121778	1	9.320594
quinnperf	upload	syscall	loopback	throughput_gbps	0.130952	1.000000	1.000000	47.857102	1	3.467173
s2nperf	upload	syscall	loopback	throughput_gbps	0.231120	0.902748	0.333333	41.435904	3	6.119306
tquicperf	upload	syscall	loopback	throughput_gbps	0.414692	0.894479	0.200000	50.243505	5	10.979688
xquicperf	upload	syscall	loopback	throughput_gbps	0.116517	0.925617	0.333333	35.131431	3	3.084984
