binary	scenario	network	path_profile	metric	capacity_index	curve_efficiency	client_count_efficiency	score	selected_threads	combined_p50
lsperf	bidi	iouring	loopback	throughput_gbps	0.395316	1.000000	1.000000	63.718989	1	7.822681
mvfstperf	bidi	iouring	loopback	throughput_gbps	0.347380	0.850685	0.142857	44.252742	7	6.874085
neqoperf	bidi	iouring	loopback	throughput_gbps	0.165634	0.823587	0.333333	35.527733	3	3.277641
ngtcp2perf	bidi	iouring	loopback	throughput_gbps	1.000000	0.879595	0.500000	89.489879	2	19.788401
noqperf	bidi	iouring	loopback	throughput_gbps	0.192530	1.000000	1.000000	51.551822	1	3.809868
picoperf	bidi	iouring	loopback	throughput_gbps	0.247545	1.000000	1.000000	54.852686	1	4.898515
quicheperf	bidi	iouring	loopback	throughput_gbps	0.494459	0.888624	0.250000	55.633115	4	9.784548
quiczigperf	bidi	iouring	loopback	throughput_gbps	0.448507	1.000000	1.000000	66.910434	1	8.875241
quinnperf	bidi	iouring	loopback	throughput_gbps	0.222428	0.971770	0.500000	45.139937	2	4.401495
s2nperf	bidi	iouring	loopback	throughput_gbps	0.270081	0.925434	0.500000	46.840703	2	5.344467
tquicperf	bidi	iouring	loopback	throughput_gbps	0.402964	0.901115	0.250000	50.455744	4	7.974020
xquicperf	bidi	iouring	loopback	throughput_gbps	0.104608	0.930739	0.500000	37.044917	2	2.070016
lsperf	bidi	syscall	loopback	throughput_gbps	0.684719	1.000000	1.000000	81.083135	1	13.660326
mvfstperf	bidi	syscall	loopback	throughput_gbps	0.356217	0.836416	0.200000	45.283397	5	7.106621
neqoperf	bidi	syscall	loopback	throughput_gbps	0.165789	0.770515	0.333333	34.210223	3	3.307537
ngtcp2perf	bidi	syscall	loopback	throughput_gbps	1.000000	0.914174	0.333333	87.854351	3	19.950268
noqperf	bidi	syscall	loopback	throughput_gbps	0.180134	0.977091	0.500000	42.735327	2	3.593724
picoperf	bidi	syscall	loopback	throughput_gbps	0.283825	1.000000	1.000000	57.029470	1	5.662375
