binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	combined	20	2	1634.353221	1341.913328	1196.506248	insufficient_order_stat_support	1529.033416	1667.349895	0.084631	1509.971248	1692.439667	1.120842	converged	p50_ci_width_0.0846_gt_0.0500
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	discovery	20	2	2896.083282	2690.265371	2272.656713	insufficient_order_stat_support	2883.671698	2910.481827	0.009257	2750.763155	3064.869588	1.114189	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	combined	20	2	2896.083282	2690.265371	2272.656713	insufficient_order_stat_support	2883.671698	2910.481827	0.009257	2750.763155	3064.869588	1.114189	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	3	pre_saturation	discovery	20	2	4005.574881	3777.706711	3355.620684	insufficient_order_stat_support	3863.400411	4098.342997	0.058654	3817.585378	4192.216701	1.098133	converged	p50_ci_width_0.0587_gt_0.0500
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	3	pre_saturation	combined	20	2	4005.574881	3777.706711	3355.620684	insufficient_order_stat_support	3863.400411	4098.342997	0.058654	3817.585378	4192.216701	1.098133	converged	p50_ci_width_0.0587_gt_0.0500
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	pre_saturation	discovery	20	2	5011.789867	4219.473305	3923.849692	insufficient_order_stat_support	4924.312180	5160.322401	0.047091	4587.141706	5270.084337	1.148882	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	pre_saturation	combined	20	2	5011.789867	4219.473305	3923.849692	insufficient_order_stat_support	4924.312180	5160.322401	0.047091	4587.141706	5270.084337	1.148882	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	pre_saturation	discovery	20	2	5643.436703	5086.541062	4917.231149	insufficient_order_stat_support	5612.471966	5654.138528	0.007383	5211.559803	5764.326844	1.106066	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	pre_saturation	combined	20	2	5643.436703	5086.541062	4917.231149	insufficient_order_stat_support	5612.471966	5654.138528	0.007383	5211.559803	5764.326844	1.106066	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	6	pre_saturation	discovery	20	2	6332.669133	5996.591869	5486.045178	insufficient_order_stat_support	6263.835504	6534.369344	0.042720	6088.348221	6729.816755	1.105360	converged	
