binary	scenario	network	path_profile	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	connect	iouring	loopback	5	connections_per_second	combined	20	2	5643.436703	5612.471966	5654.138528	0.007383	5211.559803	5764.326844	1.106066	5086.541062	4917.231149	insufficient_order_stat_support	0.021559	1.007424	0.000000	-0.091764	0	converged	
lsperf	connect	iouring	loopback	6	connections_per_second	discovery	20	2	6332.669133	6263.835504	6534.369344	0.042720	6088.348221	6729.816755	1.105360	5996.591869	5486.045178	insufficient_order_stat_support	0.033508	1.043190	0.000000	0.178936	0	converged	
lsperf	connect	iouring	loopback	6	connections_per_second	combined	20	2	6332.669133	6263.835504	6534.369344	0.042720	6088.348221	6729.816755	1.105360	5996.591869	5486.045178	insufficient_order_stat_support	0.033508	1.043190	0.000000	0.178936	0	converged	
lsperf	connect	iouring	loopback	7	connections_per_second	discovery	20	2	6425.673378	6398.270619	6452.894177	0.008501	6340.512956	6503.782339	1.025750	6288.981473	6249.160900	insufficient_order_stat_support	0.011518	1.008537	0.000000	-0.473988	0	converged	
lsperf	connect	iouring	loopback	7	connections_per_second	combined	20	2	6425.673378	6398.270619	6452.894177	0.008501	6340.512956	6503.782339	1.025750	6288.981473	6249.160900	insufficient_order_stat_support	0.011518	1.008537	0.000000	-0.473988	0	converged	
lsperf	connect	iouring	loopback	8	connections_per_second	discovery	20	2	7004.403992	6913.280432	7026.442679	0.016156	6853.981411	7091.806723	1.034699	6702.357040	6417.801938	insufficient_order_stat_support	0.015755	1.016369	0.000000	-0.215282	0	converged	
lsperf	connect	iouring	loopback	8	connections_per_second	combined	20	2	7004.403992	6913.280432	7026.442679	0.016156	6853.981411	7091.806723	1.034699	6702.357040	6417.801938	insufficient_order_stat_support	0.015755	1.016369	0.000000	-0.215282	0	converged	
lsperf	connect	iouring	loopback	9	connections_per_second	discovery	20	2	7190.976809	7126.112759	7312.488699	0.025918	6950.188259	7484.542149	1.076883	6614.946363	6527.634524	insufficient_order_stat_support	0.028651	1.026154	0.000000	-0.149584	0	converged	
lsperf	connect	iouring	loopback	9	connections_per_second	combined	20	2	7190.976809	7126.112759	7312.488699	0.025918	6950.188259	7484.542149	1.076883	6614.946363	6527.634524	insufficient_order_stat_support	0.028651	1.026154	0.000000	-0.149584	0	converged	
lsperf	connect	iouring	loopback	10	connections_per_second	discovery	20	2	7515.720364	7479.997097	7629.512579	0.019894	7263.811056	7690.122918	1.058690	7123.114289	6958.952604	insufficient_order_stat_support	0.020396	1.019989	0.000000	-0.054307	0	converged	
lsperf	connect	iouring	loopback	10	connections_per_second	combined	20	2	7515.720364	7479.997097	7629.512579	0.019894	7263.811056	7690.122918	1.058690	7123.114289	6958.952604	insufficient_order_stat_support	0.020396	1.019989	0.000000	-0.054307	0	converged	
lsperf	connect	iouring	loopback	11	connections_per_second	discovery	20	2	7796.796810	7747.855252	7805.133462	0.007346	7577.396215	7965.466845	1.051214	7461.962897	7134.643794	insufficient_order_stat_support	0.022312	1.007393	0.000000	-0.212816	0	converged	
lsperf	connect	iouring	loopback	11	connections_per_second	combined	20	2	7796.796810	7747.855252	7805.133462	0.007346	7577.396215	7965.466845	1.051214	7461.962897	7134.643794	insufficient_order_stat_support	0.022312	1.007393	0.000000	-0.212816	0	converged	
lsperf	connect	iouring	loopback	12	connections_per_second	discovery	20	2	7995.692082	7944.042547	8126.465918	0.022815	7888.530901	8344.024578	1.057741	7716.490616	7460.856965	insufficient_order_stat_support	0.016490	1.022964	0.000000	0.337243	0	converged	
lsperf	connect	iouring	loopback	12	connections_per_second	combined	20	2	7995.692082	7944.042547	8126.465918	0.022815	7888.530901	8344.024578	1.057741	7716.490616	7460.856965	insufficient_order_stat_support	0.016490	1.022964	0.000000	0.337243	0	converged	
lsperf	connect	iouring	loopback	13	connections_per_second	discovery	20	2	8104.221935	8064.902820	8134.781878	0.008623	7994.239140	8293.393563	1.037421	7690.574476	7580.528632	insufficient_order_stat_support	0.015524	1.008665	0.000000	0.019440	0	converged	
lsperf	connect	iouring	loopback	13	connections_per_second	combined	20	2	8104.221935	8064.902820	8134.781878	0.008623	7994.239140	8293.393563	1.037421	7690.574476	7580.528632	insufficient_order_stat_support	0.015524	1.008665	0.000000	0.019440	0	converged	
lsperf	connect	iouring	loopback	14	connections_per_second	discovery	20	2	8368.442461	8330.494019	8406.919513	0.009133	8233.352811	8446.725608	1.025916	8096.865273	6560.689629	insufficient_order_stat_support	0.010398	1.009174	0.000000	-0.017681	1	converged	outliers_1
lsperf	connect	iouring	loopback	14	connections_per_second	combined	20	2	8368.442461	8330.494019	8406.919513	0.009133	8233.352811	8446.725608	1.025916	8096.865273	6560.689629	insufficient_order_stat_support	0.010398	1.009174	0.000000	-0.017681	1	converged	outliers_1
lsperf	connect	iouring	loopback	15	connections_per_second	discovery	20	2	8497.439325	8497.439325	8514.871870	0.002052	8294.886748	8652.353594	1.043095	8242.139397	7641.188028	insufficient_order_stat_support	0.014931	1.002052	0.000000	-0.323302	0	converged	
lsperf	connect	iouring	loopback	15	connections_per_second	combined	20	2	8497.439325	8497.439325	8514.871870	0.002052	8294.886748	8652.353594	1.043095	8242.139397	7641.188028	insufficient_order_stat_support	0.014931	1.002052	0.000000	-0.323302	0	converged	
lsperf	connect	iouring	loopback	16	connections_per_second	discovery	20	2	8730.786496	8695.859933	8740.422806	0.005104	8479.906170	8928.243595	1.052871	8322.533704	7857.604906	insufficient_order_stat_support	0.022620	1.005125	0.000000	-0.243748	0	converged	
lsperf	connect	iouring	loopback	16	connections_per_second	combined	20	2	8730.786496	8695.859933	8740.422806	0.005104	8479.906170	8928.243595	1.052871	8322.533704	7857.604906	insufficient_order_stat_support	0.022620	1.005125	0.000000	-0.243748	0	converged	
lsperf	connect	iouring	loopback	17	connections_per_second	discovery	20	2	8885.626414	8885.626414	8942.294966	0.006378	8484.723154	9717.225078	1.145261	8300.171184	7297.508345	insufficient_order_stat_support	0.052813	1.006378	0.000000	0.125560	0	converged	
lsperf	connect	iouring	loopback	17	connections_per_second	combined	20	2	8885.626414	8885.626414	8942.294966	0.006378	8484.723154	9717.225078	1.145261	8300.171184	7297.508345	insufficient_order_stat_support	0.052813	1.006378	0.000000	0.125560	0	converged	
lsperf	connect	iouring	loopback	18	connections_per_second	discovery	20	2	8850.736930	8830.756258	8910.542245	0.009015	8617.318522	9078.617594	1.053532	8363.111432	8360.053514	insufficient_order_stat_support	0.024613	1.009035	0.000000	0.150617	0	converged	
lsperf	connect	iouring	loopback	18	connections_per_second	combined	20	2	8850.736930	8830.756258	8910.542245	0.009015	8617.318522	9078.617594	1.053532	8363.111432	8360.053514	insufficient_order_stat_support	0.024613	1.009035	0.000000	0.150617	0	converged	
lsperf	connect	syscall	loopback	1	connections_per_second	discovery	20	2	1396.954286	1386.536859	1403.716958	0.012298	1312.905806	1499.693247	1.142270	1176.195600	1124.631686	insufficient_order_stat_support	0.056100	1.012391	0.000000	-0.103900	0	converged	
lsperf	connect	syscall	loopback	1	connections_per_second	combined	20	2	1396.954286	1386.536859	1403.716958	0.012298	1312.905806	1499.693247	1.142270	1176.195600	1124.631686	insufficient_order_stat_support	0.056100	1.012391	0.000000	-0.103900	0	converged	
lsperf	connect	syscall	loopback	2	connections_per_second	discovery	20	2	2149.904164	2082.796125	2180.331004	0.045367	1962.707493	2266.983238	1.155029	1891.922203	1721.332697	insufficient_order_stat_support	0.068671	1.046829	0.000000	-0.030227	0	converged	p80_p20_1.1550_gt_1.1500
lsperf	connect	syscall	loopback	2	connections_per_second	combined	20	2	2149.904164	2082.796125	2180.331004	0.045367	1962.707493	2266.983238	1.155029	1891.922203	1721.332697	insufficient_order_stat_support	0.068671	1.046829	0.000000	-0.030227	0	converged	p80_p20_1.1550_gt_1.1500
