binary	scenario	network	path_profile	adapter_features	congestion_controller	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
neqoperf	connect	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0527_gt_0.0500;drift_0.0431_gt_0.0300;persistent_drift_0.0431_gt_0.0300
neqoperf	download	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0561_gt_0.0300;p80_p20_1.2057_gt_1.1500;drift_0.0340_gt_0.0300;persistent_p80_p20_recent_1.1544_gt_1.1500;persistent_drift_0.0340_gt_0.0300
neqoperf	download	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps	1	1	2	4.536032	4.675617	4.546988	4.469679	4.642426	0.037992	4.412087	4.324830	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-8.83pct_le_1.00pct;t1:combined_warning_noisy;p50_ci_width_0.0380_gt_0.0300
neqoperf	upload	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0723_gt_0.0300;p80_p20_1.2038_gt_1.1500;block_median_ratio_1.1756_gt_1.1000;persistent_block_median_ratio_recent_1.1756_gt_1.1000;persistent_p80_p20_recent_1.1898_gt_1.1500
neqoperf	upload	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:block_median_ratio_1.1244_gt_1.1000
ngtcp2perf	connect	iouring	loopback	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	connections_per_second	1	1		1782.619987		1782.619987	1705.995262	1795.103664	0.049987	1630.802616	1466.466228	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:p50_ci_width_0.2121_gt_0.0500;p80_p20_1.2911_gt_1.1500;block_median_ratio_1.3059_gt_1.1000;drift_-0.1078_gt_0.0300;severe_block_median_ratio_1.3059_gt_1.2500;severe_drift_-0.1078_gt_0.0800;t1:missing_confirm_stats
ngtcp2perf	connect	syscall	loopback	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	connections_per_second	1	1		1174.662989		1174.662989	1149.626811	1193.763303	0.037574	1035.828458	964.416622	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:p50_ci_width_0.1304_gt_0.0500;p80_p20_1.2225_gt_1.1500;block_median_ratio_1.3551_gt_1.1000;drift_-0.0463_gt_0.0300;severe_block_median_ratio_1.3551_gt_1.2500;t1:missing_confirm_stats
ngtcp2perf	download	iouring	loopback	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps	1	1		15.904729		15.904729	15.734272	16.066255	0.020873	15.330693	15.140388	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:p50_ci_width_0.0440_gt_0.0300;drift_-0.0534_gt_0.0300;persistent_drift_-0.0534_gt_0.0300;t1:missing_confirm_stats
ngtcp2perf	download	syscall	loopback	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1531_gt_0.0300;p80_p20_1.1752_gt_1.1500;block_median_ratio_1.2060_gt_1.1000;drift_-0.1187_gt_0.0300;severe_drift_-0.1187_gt_0.0800
ngtcp2perf	upload	iouring	loopback	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps	1	1		16.112755		16.112755	15.891716	16.357962	0.028936	15.614684	15.261945	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:p50_ci_width_0.0331_gt_0.0300;block_median_ratio_1.1216_gt_1.1000;persistent_block_median_ratio_recent_1.1216_gt_1.1000;t1:missing_confirm_stats
