binary	scenario	network	path_profile	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
ngtcp2perf	download	iouring	loopback	throughput_gbps	1	1		1.000000	15.904729	15.904729	1.000000	1.000000	1.000000	0	not_ready	not_ready	no_incremental_plateau;t2:p50_ci_width_0.0440_gt_0.0300;drift_-0.0534_gt_0.0300;persistent_drift_-0.0534_gt_0.0300
ngtcp2perf	download	syscall	loopback	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1531_gt_0.0300;p80_p20_1.1752_gt_1.1500;block_median_ratio_1.2060_gt_1.1000;drift_-0.1187_gt_0.0300;severe_drift_-0.1187_gt_0.0800
ngtcp2perf	upload	iouring	loopback	throughput_gbps	1	1		1.000000	16.112755	16.112755	1.000000	1.000000	1.000000	0	not_ready	not_ready	no_incremental_plateau;t2:p50_ci_width_0.0331_gt_0.0300;block_median_ratio_1.1216_gt_1.1000;persistent_block_median_ratio_recent_1.1216_gt_1.1000
ngtcp2perf	upload	syscall	loopback	throughput_gbps	1	1		1.000000	18.033725	18.033725	1.000000	1.000000	1.000000	0	not_ready	not_ready	no_incremental_plateau;t2:p50_ci_width_0.0365_gt_0.0300;drift_-0.0402_gt_0.0300;persistent_drift_-0.0402_gt_0.0300
noqperf	connect	iouring	loopback	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1163_gt_0.0500;p80_p20_1.1865_gt_1.1500;block_median_ratio_1.3095_gt_1.1000;drift_-0.0553_gt_0.0300;severe_block_median_ratio_1.3095_gt_1.2500
noqperf	connect	syscall	loopback	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1605_gt_0.0500;p80_p20_1.2083_gt_1.1500;block_median_ratio_1.2532_gt_1.1000;severe_block_median_ratio_1.2532_gt_1.2500
noqperf	download	iouring	loopback	throughput_gbps	2	2	3	1.000000	5.563550	5.563550	1.000000	1.000000	1.000000	1	ok	ready	incremental_improvement_-5.00pct_le_1.00pct
noqperf	download	syscall	loopback	throughput_gbps	2	2	3	1.000000	5.743389	5.743389	1.000000	1.000000	1.000000	1	ok	ready	incremental_improvement_-4.15pct_le_1.00pct
noqperf	upload	iouring	loopback	throughput_gbps	1	1	2	1.000000	3.456276	3.456276	1.000000	1.000000	1.000000	1	ok	ready	incremental_improvement_-9.85pct_le_1.00pct
noqperf	upload	syscall	loopback	throughput_gbps	1	1	2	1.000000	3.250040	3.250040	1.000000	1.000000	1.000000	1	ok	ready	incremental_improvement_-9.44pct_le_1.00pct
picoperf	connect	iouring	loopback	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1671_gt_0.0500;p80_p20_1.4075_gt_1.1500;block_median_ratio_1.4028_gt_1.1000;drift_-0.1850_gt_0.0300;severe_block_median_ratio_1.4028_gt_1.2500;severe_drift_-0.1850_gt_0.0800
picoperf	connect	syscall	loopback	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.2958_gt_0.0500;p80_p20_1.3970_gt_1.1500;block_median_ratio_1.4442_gt_1.1000;severe_block_median_ratio_1.4442_gt_1.2500
picoperf	download	iouring	loopback	throughput_gbps	1	1		1.000000	9.375036	9.375036	1.000000	1.000000	1.000000	0	not_ready	not_ready	no_incremental_plateau;t2:p50_ci_width_0.0722_gt_0.0300;p80_p20_1.1536_gt_1.1500;block_median_ratio_1.1942_gt_1.1000;persistent_block_median_ratio_recent_1.1127_gt_1.1000;persistent_p80_p20_recent_1.1538_gt_1.1500
