binary	scenario	network	path_profile	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
noqperf	upload	iouring	loopback	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	ready	ready	55	3.456276	3.397937	3.487490	0.025910	1.037874	ready	
noqperf	upload	iouring	loopback	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	plateau_sentinel+post_selected	ready	not_ready	warning_noisy	30	3.097927	2.992246	3.116870	0.040228	1.037968	not_ready	combined_warning_noisy;p50_ci_width_0.0402_gt_0.0300
noqperf	upload	syscall	loopback	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	ready	ready	30	3.274617	3.237119	3.309617	0.022140	1.034020	ready	
noqperf	upload	syscall	loopback	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	plateau_sentinel+post_selected	ready	not_ready	not_ready_outlier	30	2.931969	2.893267	2.946280	0.018081	1.022671	not_ready	confirm_not_ready_high_variance;combined_not_ready_outlier;outliers_1
picoperf	download	iouring	loopback	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	25	9.375036	9.225369	9.474477	0.026571	1.067899	not_ready	missing_confirm_stats
quicheperf	upload	iouring	loopback	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	90	8.491639	8.386433	8.638641	0.029701	1.081263	not_ready	missing_confirm_stats
quiczigperf	connect	syscall	loopback	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	cubic	connections_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	25	1075.482757	1069.686892	1085.148334	0.014376	1.123964	not_ready	missing_confirm_stats
quiczigperf	download	iouring	loopback	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	8.552221	8.503321	8.667827	0.019235	1.043603	not_ready	missing_confirm_stats
quiczigperf	upload	iouring	loopback	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	ready	ready	65	8.248596	8.131139	8.335197	0.024739	1.050952	ready	
quiczigperf	upload	iouring	loopback	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	ready	ready	ready	30	8.109318	8.025699	8.168171	0.017569	1.044005	ready	
quinnperf	download	iouring	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	not_ready	warning_noisy	30	3.661887	3.594318	3.731336	0.037417	1.043779	not_ready	combined_warning_noisy;p50_ci_width_0.0374_gt_0.0300
