binary	scenario	network	path_profile	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
tquicperf	upload	syscall	loopback	3	throughput_gbps	confirm	10	2	12.625377	12.366037	13.250077	0.070021	12.347340	13.369783	1.082807	12.261488	12.171860	insufficient_order_stat_support	0.024243	1.071489	0.000000	0.616806	0	not_ready_max_samples	p50_ci_width_0.0700_gt_0.0300
tquicperf	upload	syscall	loopback	3	throughput_gbps	combined	60	12	12.507165	12.384408	12.698244	0.025093	12.159179	12.887534	1.059902	12.030872	11.862356	insufficient_order_stat_support	0.019936	1.103015	0.004180	0.100792	0	not_ready_nonstationary	block_median_ratio_1.1030_gt_1.1000
xquicperf	connect	iouring	loopback	1	connections_per_second	discovery	40	8	1400.646031	1298.836080	1468.640127	0.121233	1278.957040	1533.299487	1.198867	1250.829058	1225.455329	insufficient_order_stat_support	0.078644	1.195680	-0.018756	0.093063	0	not_ready_high_variance	p50_ci_width_0.1212_gt_0.0500;p80_p20_1.1989_gt_1.1500;block_median_ratio_1.1957_gt_1.1000;persistent_block_median_ratio_recent_1.1317_gt_1.1000;persistent_p80_p20_recent_1.1793_gt_1.1500
xquicperf	connect	iouring	loopback	1	connections_per_second	combined	40	8	1400.646031	1298.836080	1468.640127	0.121233	1278.957040	1533.299487	1.198867	1250.829058	1225.455329	insufficient_order_stat_support	0.078644	1.195680	-0.018756	0.093063	0	not_ready_high_variance	p50_ci_width_0.1212_gt_0.0500;p80_p20_1.1989_gt_1.1500;block_median_ratio_1.1957_gt_1.1000;persistent_block_median_ratio_recent_1.1317_gt_1.1000;persistent_p80_p20_recent_1.1793_gt_1.1500
xquicperf	connect	syscall	loopback	1	connections_per_second	discovery	40	8	994.184601	963.745475	1016.263261	0.052825	918.529436	1051.887020	1.145186	878.959550	593.998455	insufficient_order_stat_support	0.055368	1.153850	0.017381	0.110366	0	not_ready_high_variance	p50_ci_width_0.0528_gt_0.0500;block_median_ratio_1.1539_gt_1.1000;persistent_block_median_ratio_recent_1.1539_gt_1.1000
xquicperf	connect	syscall	loopback	1	connections_per_second	combined	40	8	994.184601	963.745475	1016.263261	0.052825	918.529436	1051.887020	1.145186	878.959550	593.998455	insufficient_order_stat_support	0.055368	1.153850	0.017381	0.110366	0	not_ready_high_variance	p50_ci_width_0.0528_gt_0.0500;block_median_ratio_1.1539_gt_1.1000;persistent_block_median_ratio_recent_1.1539_gt_1.1000
xquicperf	download	iouring	loopback	1	throughput_gbps	discovery	50	10	10.487924	10.297910	10.781439	0.046103	9.908177	10.950254	1.105174	9.562048	8.626638	insufficient_order_stat_support	0.040940	1.148416	0.042634	-0.019990	0	not_ready_high_variance	p50_ci_width_0.0461_gt_0.0300;block_median_ratio_1.1484_gt_1.1000;drift_0.0426_gt_0.0300;persistent_block_median_ratio_recent_1.1072_gt_1.1000;persistent_drift_0.0426_gt_0.0300
xquicperf	download	iouring	loopback	1	throughput_gbps	combined	50	10	10.487924	10.297910	10.781439	0.046103	9.908177	10.950254	1.105174	9.562048	8.626638	insufficient_order_stat_support	0.040940	1.148416	0.042634	-0.019990	0	not_ready_high_variance	p50_ci_width_0.0461_gt_0.0300;block_median_ratio_1.1484_gt_1.1000;drift_0.0426_gt_0.0300;persistent_block_median_ratio_recent_1.1072_gt_1.1000;persistent_drift_0.0426_gt_0.0300
xquicperf	download	syscall	loopback	1	throughput_gbps	discovery	30	6	11.748310	11.315165	11.995452	0.057905	11.250079	12.173135	1.082049	10.834831	10.653401	insufficient_order_stat_support	0.033689	1.119821	0.087641	0.387264	0	not_ready_high_variance	p50_ci_width_0.0579_gt_0.0300;block_median_ratio_1.1198_gt_1.1000;drift_0.0876_gt_0.0300;severe_drift_0.0876_gt_0.0800
xquicperf	download	syscall	loopback	1	throughput_gbps	combined	30	6	11.748310	11.315165	11.995452	0.057905	11.250079	12.173135	1.082049	10.834831	10.653401	insufficient_order_stat_support	0.033689	1.119821	0.087641	0.387264	0	not_ready_high_variance	p50_ci_width_0.0579_gt_0.0300;block_median_ratio_1.1198_gt_1.1000;drift_0.0876_gt_0.0300;severe_drift_0.0876_gt_0.0800
xquicperf	upload	iouring	loopback	1	throughput_gbps	discovery	60	12	10.331724	10.192490	10.483571	0.028174	9.763893	10.736720	1.099635	9.527024	8.192542	insufficient_order_stat_support	0.036804	1.132642	-0.001359	0.067950	0	not_ready_high_variance	block_median_ratio_1.1326_gt_1.1000;persistent_block_median_ratio_recent_1.1091_gt_1.1000
xquicperf	upload	iouring	loopback	1	throughput_gbps	combined	60	12	10.331724	10.192490	10.483571	0.028174	9.763893	10.736720	1.099635	9.527024	8.192542	insufficient_order_stat_support	0.036804	1.132642	-0.001359	0.067950	0	not_ready_high_variance	block_median_ratio_1.1326_gt_1.1000;persistent_block_median_ratio_recent_1.1091_gt_1.1000
xquicperf	upload	syscall	loopback	1	throughput_gbps	discovery	40	8	11.300708	10.964183	11.563436	0.053028	10.642467	11.994330	1.127025	10.308635	9.432769	insufficient_order_stat_support	0.044337	1.164156	0.063898	0.198651	0	not_ready_high_variance	p50_ci_width_0.0530_gt_0.0300;block_median_ratio_1.1642_gt_1.1000;drift_0.0639_gt_0.0300;persistent_drift_0.0639_gt_0.0300
xquicperf	upload	syscall	loopback	1	throughput_gbps	combined	40	8	11.300708	10.964183	11.563436	0.053028	10.642467	11.994330	1.127025	10.308635	9.432769	insufficient_order_stat_support	0.044337	1.164156	0.063898	0.198651	0	not_ready_high_variance	p50_ci_width_0.0530_gt_0.0300;block_median_ratio_1.1642_gt_1.1000;drift_0.0639_gt_0.0300;persistent_drift_0.0639_gt_0.0300
