binary	scenario	network	path_profile	metric	capacity_index	curve_efficiency	client_count_efficiency	score	selected_threads	combined_p50
neqoperf	upload	syscall	loopback	throughput_gbps	0.150053	1.000000	1.000000	49.003157	1	4.143752
ngtcp2perf	upload	syscall	loopback	throughput_gbps	1.000000	0.757284	0.500000	86.432098	2	27.615327
noqperf	upload	syscall	loopback	throughput_gbps	0.108370	1.000000	1.000000	46.502226	1	2.992685
picoperf	upload	syscall	loopback	throughput_gbps	0.404917	0.812696	0.500000	52.112437	2	11.181927
quicheperf	upload	syscall	loopback	throughput_gbps	0.506110	0.898049	0.166667	55.317834	6	13.976394
quiczigperf	upload	syscall	loopback	throughput_gbps	0.352390	1.000000	1.000000	61.143378	1	9.731355
quinnperf	upload	syscall	loopback	throughput_gbps	0.124280	1.000000	1.000000	47.456829	1	3.432046
s2nperf	upload	syscall	loopback	throughput_gbps	0.220152	0.915355	0.333333	41.092995	3	6.079570
tquicperf	upload	syscall	loopback	throughput_gbps	0.386352	0.886823	0.250000	49.101717	4	10.669241
xquicperf	upload	syscall	loopback	throughput_gbps	0.114014	0.945182	0.333333	35.470375	3	3.148530
