binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	14	selected_saturation+plateau_sentinel	converged	converged	converged	20	8218.529108	8094.761246	8256.898540	0.019728	1.054641	converged	confirm_disabled
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	selected_saturation	converged	converged	converged	20	3379.018615	3260.582152	3401.159120	0.041603	1.191627	converged	p80_p20_1.1916_gt_1.1500;confirm_disabled;p80_p20_1.1916_gt_1.1500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	plateau_sentinel+post_selected	converged	converged	converged	20	3289.739333	3020.189414	3591.651987	0.173711	1.257640	converged	p50_ci_width_0.1737_gt_0.0500;p80_p20_1.2576_gt_1.1500;block_median_ratio_1.1892_gt_1.1000;confirm_disabled;p50_ci_width_0.1737_gt_0.0500;p80_p20_1.2576_gt_1.1500;block_median_ratio_1.1892_gt_1.1000
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	11.384127	11.369201	11.465889	0.008493	1.082226	converged	confirm_disabled
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	4.299804	4.070087	4.364325	0.068431	1.175252	converged	p50_ci_width_0.0684_gt_0.0300;p80_p20_1.1753_gt_1.1500;confirm_disabled;p50_ci_width_0.0684_gt_0.0300;p80_p20_1.1753_gt_1.1500
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	11.539974	11.374980	11.558362	0.015891	1.159264	converged	p80_p20_1.1593_gt_1.1500;confirm_disabled;p80_p20_1.1593_gt_1.1500
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	5.063138	4.785319	5.338408	0.109238	1.314609	converged	p50_ci_width_0.1092_gt_0.0300;p80_p20_1.3146_gt_1.1500;block_median_ratio_1.1156_gt_1.1000;confirm_disabled;p50_ci_width_0.1092_gt_0.0300;p80_p20_1.3146_gt_1.1500;block_median_ratio_1.1156_gt_1.1000
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	5	selected_saturation	converged	converged	converged	20	20.865465	20.834642	20.865465	0.001477	1.069344	converged	confirm_disabled
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	6	plateau_sentinel+post_selected	converged	converged	converged	20	20.490910	20.490910	20.628757	0.006727	1.058574	converged	confirm_disabled
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	5	selected_saturation+plateau_sentinel	converged	converged	converged	20	21.386767	21.160042	21.500024	0.015897	1.117053	converged	confirm_disabled
