scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
connect	iouring	loopback	connections_per_second	lsperf	mvfstperf	8218.529108	814.508460	10.090170	9.623403	10.353840	win
connect	iouring	loopback	connections_per_second	lsperf	neqoperf	8218.529108	740.149649	11.103875	10.626090	11.537492	win
connect	iouring	loopback	connections_per_second	lsperf	ngtcp2perf	8218.529108	9479.765286	0.866955	0.848849	0.888846	loss
connect	iouring	loopback	connections_per_second	lsperf	noqperf	8218.529108	6586.856038	1.247717	1.225422	1.260345	win
connect	iouring	loopback	connections_per_second	lsperf	picoperf	8218.529108	4956.814811	1.658026	1.596156	1.714905	win
connect	iouring	loopback	connections_per_second	lsperf	quicheperf	8218.529108	5946.071760	1.382178	1.344668	1.405658	win
connect	iouring	loopback	connections_per_second	lsperf	quiczigperf	8218.529108	3945.621942	2.082949	2.042259	2.126740	win
connect	iouring	loopback	connections_per_second	lsperf	quinnperf	8218.529108	7073.630181	1.161855	1.090949	1.167279	win
connect	iouring	loopback	connections_per_second	lsperf	s2nperf	8218.529108	6195.650051	1.326500	1.286198	1.344890	win
connect	iouring	loopback	connections_per_second	lsperf	tquicperf	8218.529108	6674.308505	1.231368	1.198682	1.252916	win
connect	iouring	loopback	connections_per_second	lsperf	xquicperf	8218.529108	8610.124587	0.954519	0.854785	0.987136	loss
connect	iouring	loopback	connections_per_second	mvfstperf	neqoperf	814.508460	740.149649	1.100465	1.046851	1.175357	win
connect	iouring	loopback	connections_per_second	mvfstperf	ngtcp2perf	814.508460	9479.765286	0.085921	0.083626	0.090549	loss
connect	iouring	loopback	connections_per_second	mvfstperf	noqperf	814.508460	6586.856038	0.123657	0.120725	0.128395	loss
connect	iouring	loopback	connections_per_second	mvfstperf	picoperf	814.508460	4956.814811	0.164321	0.157249	0.174702	loss
connect	iouring	loopback	connections_per_second	mvfstperf	quicheperf	814.508460	5946.071760	0.136983	0.132473	0.143198	loss
connect	iouring	loopback	connections_per_second	mvfstperf	quiczigperf	814.508460	3945.621942	0.206433	0.201197	0.216657	loss
connect	iouring	loopback	connections_per_second	mvfstperf	quinnperf	814.508460	7073.630181	0.115147	0.107477	0.118914	loss
connect	iouring	loopback	connections_per_second	mvfstperf	s2nperf	814.508460	6195.650051	0.131465	0.126712	0.137008	loss
connect	iouring	loopback	connections_per_second	mvfstperf	tquicperf	814.508460	6674.308505	0.122036	0.118091	0.127638	loss
connect	iouring	loopback	connections_per_second	mvfstperf	xquicperf	814.508460	8610.124587	0.094599	0.084211	0.100562	loss
connect	iouring	loopback	connections_per_second	neqoperf	ngtcp2perf	740.149649	9479.765286	0.078077	0.075047	0.082005	loss
connect	iouring	loopback	connections_per_second	neqoperf	noqperf	740.149649	6586.856038	0.112368	0.108340	0.116279	loss
connect	iouring	loopback	connections_per_second	neqoperf	picoperf	740.149649	4956.814811	0.149320	0.141116	0.158217	loss
connect	iouring	loopback	connections_per_second	neqoperf	quicheperf	740.149649	5946.071760	0.124477	0.118882	0.129686	loss
connect	iouring	loopback	connections_per_second	neqoperf	quiczigperf	740.149649	3945.621942	0.187588	0.180556	0.196213	loss
connect	iouring	loopback	connections_per_second	neqoperf	quinnperf	740.149649	7073.630181	0.104635	0.096451	0.107693	loss
connect	iouring	loopback	connections_per_second	neqoperf	s2nperf	740.149649	6195.650051	0.119463	0.113713	0.124080	loss
connect	iouring	loopback	connections_per_second	neqoperf	tquicperf	740.149649	6674.308505	0.110895	0.105975	0.115594	loss
connect	iouring	loopback	connections_per_second	neqoperf	xquicperf	740.149649	8610.124587	0.085963	0.075572	0.091073	loss
connect	iouring	loopback	connections_per_second	ngtcp2perf	noqperf	9479.765286	6586.856038	1.439194	1.406280	1.455614	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	picoperf	9479.765286	4956.814811	1.912471	1.831731	1.980601	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	quicheperf	9479.765286	5946.071760	1.594290	1.543125	1.623441	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	quiczigperf	9479.765286	3945.621942	2.402604	2.343673	2.456242	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	quinnperf	9479.765286	7073.630181	1.340156	1.251960	1.348129	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	s2nperf	9479.765286	6195.650051	1.530068	1.476026	1.553258	win
connect	iouring	loopback	connections_per_second	ngtcp2perf	tquicperf	9479.765286	6674.308505	1.420337	1.375593	1.447034	win
