binary	scenario	network	path_profile	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
lsperf	connect	iouring	loopback	connections_per_second	14	14	14	1.000000	8218.529108	8218.529108	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.12pct_le_1.00pct
lsperf	connect	syscall	loopback	connections_per_second	4	4	5	1.000000	3379.018615	3379.018615	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-2.64pct_le_1.00pct
lsperf	download	iouring	loopback	throughput_gbps	1	1	2	1.000000	11.384127	11.384127	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-62.23pct_le_1.00pct
lsperf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	11.539974	11.539974	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-56.13pct_le_1.00pct
lsperf	upload	iouring	loopback	throughput_gbps	5	5	6	1.000000	20.865465	20.865465	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.80pct_le_1.00pct
lsperf	upload	syscall	loopback	throughput_gbps	5	5	5	1.000000	21.386767	21.386767	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.35pct_le_1.00pct
mvfstperf	connect	iouring	loopback	connections_per_second	7	7	7	1.000000	814.508460	814.508460	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.65pct_le_1.00pct
mvfstperf	connect	syscall	loopback	connections_per_second	8	8	9	1.000000	855.259146	855.259146	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.38pct_le_1.00pct
mvfstperf	download	iouring	loopback	throughput_gbps	1	1	2	1.000000	6.612594	6.612594	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-5.34pct_le_1.00pct
mvfstperf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	6.417173	6.417173	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-2.83pct_le_1.00pct
mvfstperf	upload	iouring	loopback	throughput_gbps	14	14	15	1.000000	6.629098	6.629098	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-8.67pct_le_1.00pct
mvfstperf	upload	syscall	loopback	throughput_gbps	14	14	15	1.000000	6.914500	6.914500	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.14pct_le_1.00pct
neqoperf	connect	iouring	loopback	connections_per_second	5	5	6	1.000000	740.149649	740.149649	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.10pct_le_1.00pct
neqoperf	connect	syscall	loopback	connections_per_second	6	6	7	1.000000	816.341077	816.341077	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-5.77pct_le_1.00pct
neqoperf	download	iouring	loopback	throughput_gbps	1	1	2	1.000000	4.192605	4.192605	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-12.87pct_le_1.00pct
neqoperf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	4.111754	4.111754	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-9.83pct_le_1.00pct
neqoperf	upload	iouring	loopback	throughput_gbps	1	1	2	1.000000	4.050526	4.050526	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-37.20pct_le_1.00pct
neqoperf	upload	syscall	loopback	throughput_gbps	1	1	2	1.000000	4.143752	4.143752	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-40.04pct_le_1.00pct
ngtcp2perf	connect	iouring	loopback	connections_per_second	15	15	15	1.000000	9479.765286	9479.765286	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.69pct_le_1.00pct
ngtcp2perf	connect	syscall	loopback	connections_per_second	7	7	8	1.000000	3000.001180	3000.001180	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.66pct_le_1.00pct
ngtcp2perf	download	iouring	loopback	throughput_gbps	2	2	3	1.000000	16.412685	16.412685	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-3.07pct_le_1.00pct
ngtcp2perf	download	syscall	loopback	throughput_gbps	2	2	3	1.000000	16.203816	16.203816	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-3.70pct_le_1.00pct
ngtcp2perf	upload	iouring	loopback	throughput_gbps	4	4	5	1.000000	25.211460	25.211460	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-3.08pct_le_1.00pct
ngtcp2perf	upload	syscall	loopback	throughput_gbps	2	2	3	1.000000	27.615327	27.615327	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.19pct_le_1.00pct
