binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	discovery	20	2	1660.082691	1587.311348	1540.383249	insufficient_order_stat_support	1643.419030	1699.962076	0.034060	1600.706522	1724.164646	1.077127	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	combined	20	2	1660.082691	1587.311348	1540.383249	insufficient_order_stat_support	1643.419030	1699.962076	0.034060	1600.706522	1724.164646	1.077127	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	discovery	20	2	2820.530144	2624.776777	2491.500959	insufficient_order_stat_support	2795.098028	2820.530144	0.009017	2652.311032	2971.603724	1.120383	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	combined	20	2	2820.530144	2624.776777	2491.500959	insufficient_order_stat_support	2795.098028	2820.530144	0.009017	2652.311032	2971.603724	1.120383	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	3	pre_saturation	discovery	20	2	4039.303171	3691.327487	3511.307546	insufficient_order_stat_support	4024.634492	4042.502120	0.004423	3817.966910	4155.699475	1.088459	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	3	pre_saturation	combined	20	2	4039.303171	3691.327487	3511.307546	insufficient_order_stat_support	4024.634492	4042.502120	0.004423	3817.966910	4155.699475	1.088459	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	pre_saturation	discovery	20	2	4815.469122	4292.631260	3832.642833	insufficient_order_stat_support	4799.124750	4831.873105	0.006801	4419.547654	4993.320411	1.129826	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	pre_saturation	combined	20	2	4815.469122	4292.631260	3832.642833	insufficient_order_stat_support	4799.124750	4831.873105	0.006801	4419.547654	4993.320411	1.129826	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	pre_saturation	discovery	20	2	5556.064868	5114.359653	4584.682365	insufficient_order_stat_support	5448.314833	5645.318849	0.035457	5348.857086	5781.297229	1.080847	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	pre_saturation	combined	20	2	5556.064868	5114.359653	4584.682365	insufficient_order_stat_support	5448.314833	5645.318849	0.035457	5348.857086	5781.297229	1.080847	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	6	pre_saturation	discovery	20	2	6085.981257	5351.378909	5047.514034	insufficient_order_stat_support	6083.502839	6085.981257	0.000407	5728.313976	6433.903380	1.123176	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	6	pre_saturation	combined	20	2	6085.981257	5351.378909	5047.514034	insufficient_order_stat_support	6083.502839	6085.981257	0.000407	5728.313976	6433.903380	1.123176	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	7	pre_saturation	discovery	20	2	6253.061710	5944.957459	5714.969320	insufficient_order_stat_support	6239.533194	6339.455318	0.015980	6059.027316	6569.871940	1.084311	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	7	pre_saturation	combined	20	2	6253.061710	5944.957459	5714.969320	insufficient_order_stat_support	6239.533194	6339.455318	0.015980	6059.027316	6569.871940	1.084311	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	8	pre_saturation	discovery	20	2	6875.837543	6447.071241	4820.375878	insufficient_order_stat_support	6814.943962	6885.948463	0.010327	6704.692351	7074.138072	1.055103	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	8	pre_saturation	combined	20	2	6875.837543	6447.071241	4820.375878	insufficient_order_stat_support	6814.943962	6885.948463	0.010327	6704.692351	7074.138072	1.055103	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	9	pre_saturation	discovery	20	2	7203.765686	6892.599250	6434.341156	insufficient_order_stat_support	7181.909612	7253.368013	0.009920	6919.436298	7332.037063	1.059629	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	9	pre_saturation	combined	20	2	7203.765686	6892.599250	6434.341156	insufficient_order_stat_support	7181.909612	7253.368013	0.009920	6919.436298	7332.037063	1.059629	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	10	pre_saturation	discovery	20	2	7589.773090	7158.511861	3515.736277	insufficient_order_stat_support	7439.360576	7605.155136	0.021844	7306.100567	7665.495288	1.049191	converged	outliers_1
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	10	pre_saturation	combined	20	2	7589.773090	7158.511861	3515.736277	insufficient_order_stat_support	7439.360576	7605.155136	0.021844	7306.100567	7665.495288	1.049191	converged	outliers_1
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	11	pre_saturation	discovery	20	2	7770.007770	7372.234635	6461.779085	insufficient_order_stat_support	7738.522311	7783.164002	0.005745	7607.935390	7924.339641	1.041589	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	11	pre_saturation	combined	20	2	7770.007770	7372.234635	6461.779085	insufficient_order_stat_support	7738.522311	7783.164002	0.005745	7607.935390	7924.339641	1.041589	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	12	pre_saturation	discovery	20	2	7973.006542	7635.130108	7378.370366	insufficient_order_stat_support	7823.008375	8033.212540	0.026364	7817.858026	8126.736316	1.039509	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	12	pre_saturation	combined	20	2	7973.006542	7635.130108	7378.370366	insufficient_order_stat_support	7823.008375	8033.212540	0.026364	7817.858026	8126.736316	1.039509	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	13	pre_saturation	discovery	20	2	8208.589784	7983.981137	4880.063967	insufficient_order_stat_support	8128.707996	8261.826711	0.016217	8040.096685	8916.694243	1.109028	converged	outliers_1
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	13	pre_saturation	combined	20	2	8208.589784	7983.981137	4880.063967	insufficient_order_stat_support	8128.707996	8261.826711	0.016217	8040.096685	8916.694243	1.109028	converged	outliers_1
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	14	selected_saturation+plateau_sentinel	discovery	20	2	8218.529108	7890.176525	7599.472859	insufficient_order_stat_support	8094.761246	8256.898540	0.019728	7987.796381	8424.259281	1.054641	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	14	selected_saturation+plateau_sentinel	combined	20	2	8218.529108	7890.176525	7599.472859	insufficient_order_stat_support	8094.761246	8256.898540	0.019728	7987.796381	8424.259281	1.054641	converged	
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	discovery	20	2	1382.158612	1243.159075	1211.596276	insufficient_order_stat_support	1351.280788	1382.991988	0.022943	1302.294768	1419.910278	1.090314	converged	
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	combined	20	2	1382.158612	1243.159075	1211.596276	insufficient_order_stat_support	1351.280788	1382.991988	0.022943	1302.294768	1419.910278	1.090314	converged	
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	discovery	20	2	2135.908108	1813.926374	1634.552848	insufficient_order_stat_support	2116.755566	2136.511432	0.009249	1927.229314	2283.113692	1.184661	converged	p80_p20_1.1847_gt_1.1500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	combined	20	2	2135.908108	1813.926374	1634.552848	insufficient_order_stat_support	2116.755566	2136.511432	0.009249	1927.229314	2283.113692	1.184661	converged	p80_p20_1.1847_gt_1.1500
