binary	scenario	network	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
quinnperf	datagram	syscall	1	messages_per_second	confirm	10	2	207631.126148	199635.877149	217944.470771	0.088178	193824.409273	234164.755512	1.208128	252644.728740	255077.155145	insufficient_order_stat_support	0.068587	1.091710	0.000000	0.301729	0	not_ready_high_variance	p50_ci_width_0.0882_gt_0.0500;p80_p20_1.2081_gt_1.1500;persistent_p80_p20_recent_1.2005_gt_1.1500
quinnperf	datagram	syscall	1	messages_per_second	combined	30	6	196594.294889	193659.445965	203323.597122	0.049158	190259.209027	205908.620197	1.082253	225395.834936	254476.556032	insufficient_order_stat_support	0.032165	1.151383	-0.036565	0.390424	0	not_ready_nonstationary	block_median_ratio_1.1514_gt_1.1000;drift_-0.0366_gt_0.0300
quinnperf	datagram	syscall	2	messages_per_second	discovery	20	4	192267.218966	189545.277727	194665.293686	0.026630	188137.097815	197837.584198	1.051561	202108.797227	205170.677605	insufficient_order_stat_support	0.022174	1.046342	-0.005153	0.054928	0	ready	
quinnperf	datagram	syscall	2	messages_per_second	combined	20	4	192267.218966	189545.277727	194665.293686	0.026630	188137.097815	197837.584198	1.051561	202108.797227	205170.677605	insufficient_order_stat_support	0.022174	1.046342	-0.005153	0.054928	0	ready	
quinnperf	datagram	syscall	3	messages_per_second	discovery	20	4	184430.314644	178059.408118	187165.951729	0.049377	177800.015769	191123.245869	1.074934	197356.036904	208655.581826	insufficient_order_stat_support	0.034823	1.065600	-0.010427	0.038978	0	ready	
quinnperf	datagram	syscall	3	messages_per_second	confirm	10	2	186423.797911	186287.978338	194138.053953	0.042109	178866.853417	201667.587137	1.127473	208629.278549	211106.076552	insufficient_order_stat_support	0.056492	1.042139	0.000000	0.228601	0	ready	
quinnperf	datagram	syscall	3	messages_per_second	combined	30	6	184670.261148	179187.108327	187431.467060	0.044644	177800.015769	194747.417490	1.095317	200835.597902	211254.681801	insufficient_order_stat_support	0.034845	1.098618	-0.009441	0.164352	0	ready	
s2nperf	datagram	iouring	1	messages_per_second	discovery	40	8	104490.739930	102897.510751	109261.735227	0.060907	101373.302634	111457.416758	1.099475	115432.451980	122532.676382	insufficient_order_stat_support	0.033180	1.102884	-0.038402	0.048112	0	not_ready_high_variance	p50_ci_width_0.0609_gt_0.0500;block_median_ratio_1.1029_gt_1.1000;drift_-0.0384_gt_0.0300;persistent_drift_-0.0384_gt_0.0300
s2nperf	datagram	iouring	1	messages_per_second	combined	40	8	104490.739930	102897.510751	109261.735227	0.060907	101373.302634	111457.416758	1.099475	115432.451980	122532.676382	insufficient_order_stat_support	0.033180	1.102884	-0.038402	0.048112	0	not_ready_high_variance	p50_ci_width_0.0609_gt_0.0500;block_median_ratio_1.1029_gt_1.1000;drift_-0.0384_gt_0.0300;persistent_drift_-0.0384_gt_0.0300
s2nperf	datagram	syscall	1	messages_per_second	discovery	50	10	115056.862923	112284.603734	117736.552451	0.047385	110273.635953	121282.236707	1.099830	124049.359323	130457.091311	insufficient_order_stat_support	0.035419	1.168315	-0.009790	0.206243	0	not_ready_high_variance	block_median_ratio_1.1683_gt_1.1000;persistent_block_median_ratio_recent_1.1061_gt_1.1000
s2nperf	datagram	syscall	1	messages_per_second	combined	50	10	115056.862923	112284.603734	117736.552451	0.047385	110273.635953	121282.236707	1.099830	124049.359323	130457.091311	insufficient_order_stat_support	0.035419	1.168315	-0.009790	0.206243	0	not_ready_high_variance	block_median_ratio_1.1683_gt_1.1000;persistent_block_median_ratio_recent_1.1061_gt_1.1000
