binary	scenario	network	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
quicheperf	datagram	iouring	messages_per_second	1	baseline_1c1s	combined	30	6	3411438.617170	3745157.002225	3794009.477144	insufficient_order_stat_support	2926108.265291	3619484.202640	0.203250	2890470.329599	3697278.040969	1.279127	not_ready_high_variance	p50_ci_width_0.2033_gt_0.0500;p80_p20_1.2791_gt_1.1500;block_median_ratio_1.2698_gt_1.1000;drift_0.0717_gt_0.0300;severe_block_median_ratio_1.2698_gt_1.2500
quicheperf	datagram	syscall	messages_per_second	1	baseline_1c1s	discovery	30	6	3452014.995527	3872982.877567	3940268.737786	insufficient_order_stat_support	3389999.893442	3739811.046412	0.101335	3226875.313044	3843171.634904	1.190989	not_ready_high_variance	p50_ci_width_0.1013_gt_0.0500;p80_p20_1.1910_gt_1.1500;block_median_ratio_1.2565_gt_1.1000;severe_block_median_ratio_1.2565_gt_1.2500
quicheperf	datagram	syscall	messages_per_second	1	baseline_1c1s	combined	30	6	3452014.995527	3872982.877567	3940268.737786	insufficient_order_stat_support	3389999.893442	3739811.046412	0.101335	3226875.313044	3843171.634904	1.190989	not_ready_high_variance	p50_ci_width_0.1013_gt_0.0500;p80_p20_1.1910_gt_1.1500;block_median_ratio_1.2565_gt_1.1000;severe_block_median_ratio_1.2565_gt_1.2500
quiczigperf	datagram	iouring	messages_per_second	1	baseline_1c1s+selected_saturation	discovery	20	4	200780.248201	209318.418061	212549.696107	insufficient_order_stat_support	194937.652419	203616.831361	0.043227	191327.507788	205974.517014	1.076555	ready	
quiczigperf	datagram	iouring	messages_per_second	1	baseline_1c1s+selected_saturation	combined	20	4	200780.248201	209318.418061	212549.696107	insufficient_order_stat_support	194937.652419	203616.831361	0.043227	191327.507788	205974.517014	1.076555	ready	
quiczigperf	datagram	iouring	messages_per_second	2	post_selected	discovery	20	4	189740.214967	196566.235785	204063.446530	insufficient_order_stat_support	184301.548406	192753.906363	0.044547	182165.056915	194696.071021	1.068789	ready	
quiczigperf	datagram	iouring	messages_per_second	2	post_selected	combined	20	4	189740.214967	196566.235785	204063.446530	insufficient_order_stat_support	184301.548406	192753.906363	0.044547	182165.056915	194696.071021	1.068789	ready	
quiczigperf	datagram	iouring	messages_per_second	3	plateau_sentinel+post_selected	discovery	40	8	204653.226493	220849.094392	227398.873756	insufficient_order_stat_support	198791.485550	214507.560428	0.076794	193792.197206	217627.721794	1.122995	not_ready_high_variance	p50_ci_width_0.0768_gt_0.0500;block_median_ratio_1.1702_gt_1.1000;persistent_block_median_ratio_recent_1.1228_gt_1.1000
quiczigperf	datagram	iouring	messages_per_second	3	plateau_sentinel+post_selected	combined	40	8	204653.226493	220849.094392	227398.873756	insufficient_order_stat_support	198791.485550	214507.560428	0.076794	193792.197206	217627.721794	1.122995	not_ready_high_variance	p50_ci_width_0.0768_gt_0.0500;block_median_ratio_1.1702_gt_1.1000;persistent_block_median_ratio_recent_1.1228_gt_1.1000
quiczigperf	datagram	syscall	messages_per_second	1	baseline_1c1s	discovery	40	8	225886.979422	254680.941487	269515.475615	insufficient_order_stat_support	217836.433623	233513.899457	0.069404	209200.107521	238213.898131	1.138689	not_ready_high_variance	p50_ci_width_0.0694_gt_0.0500;block_median_ratio_1.1298_gt_1.1000;drift_0.0515_gt_0.0300;persistent_block_median_ratio_recent_1.1298_gt_1.1000;persistent_drift_0.0515_gt_0.0300
