logical_trial_id	planned_trial_id	committed_trial_id	session	planned_microblock_id	cell_id	server	reference_client	server_backend	scenario	path_profile	outcome	validity_reasons
2e9f66e3dd991eda50fee8757415c47c63f6526d3156bd65cc3298461c87df81	b0d2e268faeb7f1b94ce103bf1f87ea38a066fd14387b7d8ac04531844a69b78	b0d2e268faeb7f1b94ce103bf1f87ea38a066fd14387b7d8ac04531844a69b78	1	4215907dd1dd71e40d2f6035c57737f650b4d9081e365262afbf08aefaaa6c76	ba25bdf4057ea3f886459c17e00451be67f5e9b575c62405fbf733427a9c42ac	picoperf	ngtcp2perf	iouring	download	loopback	valid	
c11ae7fb4ddbb91e5575725bf998684005bbb8e9d25caba914cdf94df5f4c05b	e3f0e8aa62770d36c884b4b57477cd4d50d265bb8356a7084e80e7bacede7bb2	e3f0e8aa62770d36c884b4b57477cd4d50d265bb8356a7084e80e7bacede7bb2	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	e73c382ef48d322eacdc974fcdc467a9773c9e68c65a5cc61c34b14fa34f1d4c	picoperf	picoperf	iouring	download	loopback	valid	
cf8f09dcc9a16fa06f25674b87f7ed780bb7f2ec894f82e28d5e740ddb656172	0d62070002a2a2bda8b2284568725945d665c93d7db33b27779d54e202613422	0d62070002a2a2bda8b2284568725945d665c93d7db33b27779d54e202613422	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	782a5dc44a6415e0d67ab4d9e9a012a1e945eaa59196587d6f06cc2bc8b0dc75	xquicperf	picoperf	iouring	download	loopback	valid	
3e8dc6a98db118d7a59c147d192b2b522358d0878d4d39f96b05bb7b57f10d02	922a7215b62a66a91306b75a84fb56bd654d74ea75c80d926ff4e61c5d7a4467	922a7215b62a66a91306b75a84fb56bd654d74ea75c80d926ff4e61c5d7a4467	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	ed1993b12d66c45d756e551ef7b1b6368910eff6dcea51c94da25cd9ca054e5a	quicheperf	picoperf	iouring	download	loopback	valid	
8dcc806f9307eb32b4b6e2ab33b43d0add8ab23894fb4fff6403d54f86c4def3	7eb724286a3e06bd149168f300fd9a38d5d5d8e5aab30c08192a30feaa50553b	7eb724286a3e06bd149168f300fd9a38d5d5d8e5aab30c08192a30feaa50553b	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	ba25e23a60f740fb3e38be625ab8d906a457f98a8d0acf79bff480d659446146	quinnperf	picoperf	iouring	download	loopback	valid	
530170a3da50f2a7e79974c45530b7ef31eebf10fff267f42bde5a5160ecb7b9	a5933f52d913e669db166519c2afb9c696d3249d4c9ef0ef2c7fef4a5ba6c9ce	a5933f52d913e669db166519c2afb9c696d3249d4c9ef0ef2c7fef4a5ba6c9ce	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	275157c42bd5dc87a86fe99d77052932cba8668feb7114505b8f73ce45a882af	tquicperf	picoperf	iouring	download	loopback	valid	
08c28ac1cb519173c8b7d5dd4491a211a8631609bcd8985917a84b0fa93144e2	ab5ce0d740239fad614957e609cbd96d4f1f737ecc717bdd0073cbcb5b984311	ab5ce0d740239fad614957e609cbd96d4f1f737ecc717bdd0073cbcb5b984311	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	a7abd62388dfc49306822c8da2f669cfb0b63de67ebb82c3575f07c1fb53ef73	s2nperf	picoperf	iouring	download	loopback	valid	
9094c0b000b42e36cdfcc15812a4ed4eee3df9d96198dbccdf0e8a7cd713dcd3	b0ac4b4b2e7f66d3b8313eb48c89a1d30b8bb9fc650a82c1a3a692138da4203f	b0ac4b4b2e7f66d3b8313eb48c89a1d30b8bb9fc650a82c1a3a692138da4203f	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	7f985f358ca0dba17e6ff36fcdd132e8e1dc70e0ba370dd3c26533baf8095789	lsperf	picoperf	iouring	download	loopback	valid	
9245e6ea81b9bc4dd3cd3b797398e11ce7865812091595f9243474e1f7c356d1	a096bf259975a57438e8611c609ac5df5e48f335e24af3d89aaef01ac647a241	a096bf259975a57438e8611c609ac5df5e48f335e24af3d89aaef01ac647a241	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	c3384bf6709ca7fc94142792d99e2662c7e273e606145499a97a3e47d359aa58	neqoperf	picoperf	iouring	download	loopback	valid	
35ad4cdf9d72704bca15d3ff7d9c3688ca5122273f53d88e0718272600916692	510c001bdee7e2b8e587d6b1ad716d1a3b066802769272422d0f80e4983750ee	510c001bdee7e2b8e587d6b1ad716d1a3b066802769272422d0f80e4983750ee	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	5fa0aa045a59d9372b67c29f3a1ebec595420d8a7a87c0e74e7cc086f1d74604	ngtcp2perf	picoperf	iouring	download	loopback	valid	
