estimand	server	server_backend	scenario	path_profile	phase	load	metric	planned	committed	valid	geometric_mean	status	quality_labels
fixed_treatment_server	neqoperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	871.20578010455915	complete	
fixed_treatment_server	neqoperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	65928.505372558691	complete	
fixed_treatment_server	neqoperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	11311.87206690426	complete	
fixed_treatment_server	neqoperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	366814340.57959914	complete	
fixed_treatment_server	neqoperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	802.70402410354347	complete	
fixed_treatment_server	ngtcp2perf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	665637792.14149654	complete	
fixed_treatment_server	ngtcp2perf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	1923.252216496832	complete	
fixed_treatment_server	ngtcp2perf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	4274.9093752025547	complete	
fixed_treatment_server	ngtcp2perf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	87686.683242384854	complete	
fixed_treatment_server	ngtcp2perf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	795729172.01680458	complete	
fixed_treatment_server	ngtcp2perf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	458548526.32629758	complete	
fixed_treatment_server	ngtcp2perf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	100881322.72168429	complete	
fixed_treatment_server	ngtcp2perf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	762770603.01420712	complete	
fixed_treatment_server	ngtcp2perf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	681919048.83367538	complete	
fixed_treatment_server	ngtcp2perf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	21216.224463451552	complete	
fixed_treatment_server	ngtcp2perf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	4549.434499792721	complete	
fixed_treatment_server	ngtcp2perf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	140882.20779348011	complete	
fixed_treatment_server	ngtcp2perf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	21433.604922186023	complete	
fixed_treatment_server	ngtcp2perf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	896524897.41698933	complete	
fixed_treatment_server	ngtcp2perf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	3643.5771039649494	complete	
fixed_treatment_server	noqperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	335764595.1433683	complete	
fixed_treatment_server	noqperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	139.9636327152283	complete	
fixed_treatment_server	noqperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	319.32988946945432	complete	
fixed_treatment_server	noqperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	54026.828704914573	complete	
fixed_treatment_server	noqperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	522453886.89604247	complete	
fixed_treatment_server	noqperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	279253278.42149931	complete	
fixed_treatment_server	noqperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	100983647.87868282	complete	
fixed_treatment_server	noqperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	258568089.4131037	complete	
fixed_treatment_server	noqperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	96573376.324171036	complete	
fixed_treatment_server	noqperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	10200.177857467112	complete	
fixed_treatment_server	noqperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	322.43752848122489	complete	
fixed_treatment_server	noqperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	37099.986415910775	complete	
fixed_treatment_server	noqperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	10002.125188222892	complete	
fixed_treatment_server	noqperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	216697358.11430383	complete	
