binary	scenario	network	path_profile	adapter_features	congestion_controller	measurement_status	audit_status	publication_status	metric	selected_threads	mode	duration_ms	work_units	samples	blocks	p50	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p90	p99	p99_status	reason
s2nperf	loss_recovery	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	noisy	inconclusive	throughput_gbps	2	duration	5000		20	5	5.574098	5.546660	5.836820	0.052055	5.281165	3.166362	insufficient_order_stat_support	block_median_ratio_1.1040_gt_1.1000;drift_-0.0601_gt_0.0300
s2nperf	loss_recovery	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	noisy	inconclusive	throughput_gbps	2	duration	5000		20	5	6.032927	5.918690	6.177808	0.042951	5.596301	3.065682	insufficient_order_stat_support	drift_0.0430_gt_0.0300
s2nperf	flow_control	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	throughput_gbps	2	duration	2000		20	5	4.887017	4.852021	4.908777	0.011614	4.705404	4.647769	insufficient_order_stat_support	
s2nperf	flow_control	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	throughput_gbps	2	duration	2000		20	5	4.950458	4.903534	5.019009	0.023326	4.856966	4.778479	insufficient_order_stat_support	
s2nperf	resumed_connect	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	connections_per_second	16	work		2	20	5	14.434214	14.407631	14.450591	0.002976	14.318729	14.257521	insufficient_order_stat_support	
s2nperf	resumed_connect	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	connections_per_second	16	work		2	20	5	14.934934	14.921945	14.939078	0.001147	14.804647	14.771511	insufficient_order_stat_support	
s2nperf	zero_rtt_reqresp	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	requests_per_second	4	duration	2000		20	5	41651.500000	41525.500000	41975.000000	0.010792	41335.350000	41136.270000	insufficient_order_stat_support	
s2nperf	zero_rtt_reqresp	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	requests_per_second	4	duration	2000		20	5	43378.500000	43093.000000	43592.000000	0.011503	42177.800000	41905.055000	insufficient_order_stat_support	
s2nperf	datagram	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	noisy	inconclusive	datagrams_per_second	4	duration	2000		20	5	2381133.250000	2332185.500000	2560241.250000	0.095776	2249303.500000	2099796.265000	insufficient_order_stat_support	p50_ci_width_0.0958_gt_0.0500;p80_p20_1.1541_gt_1.1500;block_median_ratio_1.2083_gt_1.1000
s2nperf	datagram	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	noisy	inconclusive	datagrams_per_second	8	duration	2000		20	5	2654584.000000	2610404.000000	2772127.500000	0.060922	2294118.000000	2209037.445000	insufficient_order_stat_support	p50_ci_width_0.0609_gt_0.0500;p80_p20_1.1992_gt_1.1500;block_median_ratio_1.1323_gt_1.1000
