scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
upload	iouring	loopback	throughput_gbps	noqperf	xquicperf	3.423858	2.159571	1.585435	1.577336	1.598890	win
upload	iouring	loopback	throughput_gbps	picoperf	quicheperf	14.549216	13.754891	1.057749	1.038116	1.069730	win
upload	iouring	loopback	throughput_gbps	picoperf	quiczigperf	14.549216	10.639901	1.367420	1.348268	1.385862	win
upload	iouring	loopback	throughput_gbps	picoperf	quinnperf	14.549216	4.247289	3.425530	3.398132	3.463672	win
upload	iouring	loopback	throughput_gbps	picoperf	xquicperf	14.549216	2.159571	6.737088	6.663186	6.831635	win
upload	iouring	loopback	throughput_gbps	quicheperf	quiczigperf	13.754891	10.639901	1.292765	1.280828	1.316325	win
upload	iouring	loopback	throughput_gbps	quicheperf	quinnperf	13.754891	4.247289	3.238511	3.236862	3.280687	win
upload	iouring	loopback	throughput_gbps	quicheperf	xquicperf	13.754891	2.159571	6.369272	6.336256	6.489143	win
upload	iouring	loopback	throughput_gbps	quiczigperf	quinnperf	10.639901	4.247289	2.505104	2.487082	2.527738	win
upload	iouring	loopback	throughput_gbps	quiczigperf	xquicperf	10.639901	2.159571	4.926860	4.877101	4.998938	win
upload	iouring	loopback	throughput_gbps	quinnperf	xquicperf	4.247289	2.159571	1.966729	1.956607	1.982779	win
upload	syscall	loopback	throughput_gbps	mvfstperf	ngtcp2perf	8.247589	31.047352	0.265645	0.264144	0.270429	loss
upload	syscall	loopback	throughput_gbps	mvfstperf	noqperf	8.247589	2.862236	2.881520	2.868949	2.889073	win
upload	syscall	loopback	throughput_gbps	mvfstperf	picoperf	8.247589	15.823322	0.521230	0.518857	0.523616	loss
upload	syscall	loopback	throughput_gbps	mvfstperf	quicheperf	8.247589	14.794150	0.557490	0.553413	0.561354	loss
upload	syscall	loopback	throughput_gbps	mvfstperf	quiczigperf	8.247589	10.642417	0.774973	0.767137	0.778828	loss
upload	syscall	loopback	throughput_gbps	mvfstperf	quinnperf	8.247589	3.450073	2.390555	2.374999	2.405701	win
upload	syscall	loopback	throughput_gbps	mvfstperf	s2nperf	8.247589	6.797656	1.213299	1.202996	1.229011	win
upload	syscall	loopback	throughput_gbps	mvfstperf	tquicperf	8.247589	14.251444	0.578720	0.571392	0.585536	loss
upload	syscall	loopback	throughput_gbps	mvfstperf	xquicperf	8.247589	3.952632	2.086607	2.067974	2.110300	win
upload	syscall	loopback	throughput_gbps	ngtcp2perf	noqperf	31.047352	2.862236	10.847237	10.659482	10.884658	win
upload	syscall	loopback	throughput_gbps	ngtcp2perf	picoperf	31.047352	15.823322	1.962126	1.926370	1.972788	win
upload	syscall	loopback	throughput_gbps	ngtcp2perf	quicheperf	31.047352	14.794150	2.098624	2.061684	2.113951	win
upload	syscall	loopback	throughput_gbps	ngtcp2perf	quiczigperf	31.047352	10.642417	2.917321	2.862426	2.931979	win
upload	syscall	loopback	throughput_gbps	ngtcp2perf	quinnperf	31.047352	3.450073	8.999042	8.825859	9.056003	win
upload	syscall	loopback	throughput_gbps	ngtcp2perf	s2nperf	31.047352	6.797656	4.567361	4.476480	4.625835	win
upload	syscall	loopback	throughput_gbps	ngtcp2perf	tquicperf	31.047352	14.251444	2.178541	2.130091	2.206706	win
upload	syscall	loopback	throughput_gbps	ngtcp2perf	xquicperf	31.047352	3.952632	7.854854	7.695616	7.945222	win
upload	syscall	loopback	throughput_gbps	noqperf	picoperf	2.862236	15.823322	0.180887	0.180595	0.181538	loss
upload	syscall	loopback	throughput_gbps	noqperf	quicheperf	2.862236	14.794150	0.193471	0.192338	0.194598	loss
upload	syscall	loopback	throughput_gbps	noqperf	quiczigperf	2.862236	10.642417	0.268946	0.266593	0.270104	loss
upload	syscall	loopback	throughput_gbps	noqperf	quinnperf	2.862236	3.450073	0.829616	0.825035	0.834020	loss
upload	syscall	loopback	throughput_gbps	noqperf	s2nperf	2.862236	6.797656	0.421062	0.417887	0.426156	loss
upload	syscall	loopback	throughput_gbps	noqperf	tquicperf	2.862236	14.251444	0.200838	0.198719	0.202945	loss
upload	syscall	loopback	throughput_gbps	noqperf	xquicperf	2.862236	3.952632	0.724134	0.719265	0.732357	loss
upload	syscall	loopback	throughput_gbps	picoperf	quicheperf	15.823322	14.794150	1.069566	1.061461	1.076270	win
upload	syscall	loopback	throughput_gbps	picoperf	quiczigperf	15.823322	10.642417	1.486817	1.470614	1.493501	win
upload	syscall	loopback	throughput_gbps	picoperf	quinnperf	15.823322	3.450073	4.586373	4.552049	4.613507	win
upload	syscall	loopback	throughput_gbps	picoperf	s2nperf	15.823322	6.797656	2.327762	2.310089	2.357752	win
upload	syscall	loopback	throughput_gbps	picoperf	tquicperf	15.823322	14.251444	1.110296	1.096411	1.122433	win
upload	syscall	loopback	throughput_gbps	picoperf	xquicperf	15.823322	3.952632	4.003236	3.967709	4.048692	win
upload	syscall	loopback	throughput_gbps	quicheperf	quiczigperf	14.794150	10.642417	1.390112	1.375238	1.400496	win
upload	syscall	loopback	throughput_gbps	quicheperf	quinnperf	14.794150	3.450073	4.288069	4.253746	4.324828	win
upload	syscall	loopback	throughput_gbps	quicheperf	s2nperf	14.794150	6.797656	2.176360	2.154864	2.207478	win
upload	syscall	loopback	throughput_gbps	quicheperf	tquicperf	14.794150	14.251444	1.038081	1.023607	1.052674	win
upload	syscall	loopback	throughput_gbps	quicheperf	xquicperf	14.794150	3.952632	3.742860	3.703828	3.785980	win
upload	syscall	loopback	throughput_gbps	quiczigperf	quinnperf	10.642417	3.450073	3.084693	3.062856	3.120219	win
