binary	scenario	network	path_profile	client_threads	metric	mode	duration_ms	work_units	samples	blocks	p50	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	block_median_ratio	drift_relative	outlier_count	measurement_status	audit_status	publication_status	reason
s2nperf	resumed_connect	iouring	loopback	16	connections_per_second	work		2	20	5	14.934934	14.921945	14.939078	0.001147	14.826051	14.969216	1.009656	14.804647	14.771511	insufficient_order_stat_support	1.004438	0.000714	0	complete	tail_insufficient	publishable	
s2nperf	zero_rtt_reqresp	syscall	loopback	4	requests_per_second	duration	2000		20	5	41651.500000	41525.500000	41975.000000	0.010792	41437.900000	41981.000000	1.013106	41335.350000	41136.270000	insufficient_order_stat_support	1.015241	-0.009269	0	complete	tail_insufficient	publishable	
s2nperf	zero_rtt_reqresp	iouring	loopback	4	requests_per_second	duration	2000		20	5	43378.500000	43093.000000	43592.000000	0.011503	42890.900000	43950.400000	1.024702	42177.800000	41905.055000	insufficient_order_stat_support	1.022026	0.001421	0	complete	tail_insufficient	publishable	
s2nperf	datagram	syscall	loopback	4	datagrams_per_second	duration	2000		20	5	2381133.250000	2332185.500000	2560241.250000	0.095776	2304811.200000	2659877.300000	1.154054	2249303.500000	2099796.265000	insufficient_order_stat_support	1.208281	-0.011481	0	complete	noisy	inconclusive	p50_ci_width_0.0958_gt_0.0500;p80_p20_1.1541_gt_1.1500;block_median_ratio_1.2083_gt_1.1000
s2nperf	datagram	iouring	loopback	8	datagrams_per_second	duration	2000		20	5	2654584.000000	2610404.000000	2772127.500000	0.060922	2315069.600000	2776338.600000	1.199246	2294118.000000	2209037.445000	insufficient_order_stat_support	1.132326	-0.026716	0	complete	noisy	inconclusive	p50_ci_width_0.0609_gt_0.0500;p80_p20_1.1992_gt_1.1500;block_median_ratio_1.1323_gt_1.1000
s2nperf	idle_footprint	syscall	loopback	16	server_rss_delta_bytes_per_connection	work			20	5	255360.000000	242560.000000	266240.000000	0.092732	238028.800000	268953.600000	1.129920	277606.400000	283550.720000	insufficient_order_stat_support	1.173673	0.054103	0	complete	noisy	inconclusive	p50_ci_width_0.0927_gt_0.0500;block_median_ratio_1.1737_gt_1.1000;drift_0.0541_gt_0.0300
s2nperf	idle_footprint	iouring	loopback	16	server_rss_delta_bytes_per_connection	work			20	5	267008.000000	254464.000000	284928.000000	0.114094	253132.800000	294041.600000	1.161610	295987.200000	313889.280000	insufficient_order_stat_support	1.143652	-0.070784	0	complete	noisy	inconclusive	p50_ci_width_0.1141_gt_0.0500;p80_p20_1.1616_gt_1.1500;block_median_ratio_1.1437_gt_1.1000;drift_-0.0708_gt_0.0300
s2nperf	close_reset_cleanup	syscall	loopback	4	streams_per_second	duration	2000		20	5	39452.500000	39310.000000	39830.500000	0.013193	39045.500000	39836.200000	1.020251	38780.600000	38065.235000	insufficient_order_stat_support	1.016331	-0.001990	0	complete	tail_insufficient	publishable	
s2nperf	close_reset_cleanup	iouring	loopback	4	streams_per_second	duration	2000		20	5	41611.750000	41375.000000	41647.500000	0.006549	40846.100000	41994.200000	1.028108	40455.500000	39448.805000	insufficient_order_stat_support	1.022387	-0.006716	0	complete	tail_insufficient	publishable	
neqoperf	download	syscall	loopback	1	throughput_gbps	duration	2000		20	5	4.373999	4.330540	4.449433	0.027182	4.302976	4.499382	1.045644	4.264276	4.244290	insufficient_order_stat_support	1.238884	0.010949	3	complete	noisy	inconclusive	block_median_ratio_1.2389_gt_1.1000;outliers_3
neqoperf	download	iouring	loopback	1	throughput_gbps	duration	2000		20	5	4.392406	4.379336	4.421234	0.009539	4.345629	4.481502	1.031267	4.332502	4.262454	insufficient_order_stat_support	1.018984	0.002672	0	complete	tail_insufficient	publishable	
neqoperf	upload	syscall	loopback	1	throughput_gbps	duration	2000		20	5	5.596952	4.710246	5.933018	0.218471	4.585481	6.063495	1.322325	4.539199	4.455551	insufficient_order_stat_support	1.259598	-0.039492	0	complete	noisy	inconclusive	p50_ci_width_0.2185_gt_0.0300;p80_p20_1.3223_gt_1.1500;block_median_ratio_1.2596_gt_1.1000;drift_-0.0395_gt_0.0300
neqoperf	upload	iouring	loopback	1	throughput_gbps	duration	2000		20	5	4.470694	4.450817	4.500580	0.011131	4.397163	4.539567	1.032385	4.387800	4.347552	insufficient_order_stat_support	1.016459	0.003842	0	complete	tail_insufficient	publishable	
neqoperf	connect	syscall	loopback	16	connections_per_second	work		8	20	5	246.624718	238.878334	251.309950	0.050407	238.372141	256.009541	1.073991	234.637683	228.248835	insufficient_order_stat_support	1.094594	0.024984	0	complete	noisy	inconclusive	p50_ci_width_0.0504_gt_0.0500
neqoperf	connect	iouring	loopback	16	connections_per_second	work		8	20	5	233.983630	228.662089	237.322696	0.037014	227.038777	244.353908	1.076265	223.722040	214.938669	insufficient_order_stat_support	1.049670	0.005830	0	complete	tail_insufficient	publishable	
neqoperf	reqresp	syscall	loopback	4	requests_per_second	duration	2000		20	5	12154.000000	12100.000000	12189.000000	0.007323	12075.600000	12247.700000	1.014252	12017.050000	11919.760000	insufficient_order_stat_support	1.008388	0.002681	0	complete	tail_insufficient	publishable	
neqoperf	reqresp	iouring	loopback	4	requests_per_second	duration	2000		20	5	12230.000000	12161.750000	12281.500000	0.009791	12139.400000	12297.200000	1.012999	12094.500000	12029.475000	insufficient_order_stat_support	1.010549	-0.005138	0	complete	tail_insufficient	publishable	
