run_order	binary	scenario	network	path_profile	threads	status	reason	metric	samples	p50	out_dir
41	s2nperf	reqresp	syscall	loopback	16	ok		requests_per_second	3	38315.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00041t16-s2nperf-reqresp-syscall-loopback
43	s2nperf	reqresp	iouring	loopback	1	ok		requests_per_second	3	32637.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00043t1-s2nperf-reqresp-iouring-loopback
44	s2nperf	reqresp	iouring	loopback	2	ok		requests_per_second	3	39113.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00044t2-s2nperf-reqresp-iouring-loopback
45	s2nperf	reqresp	iouring	loopback	4	ok		requests_per_second	3	40235.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00045t4-s2nperf-reqresp-iouring-loopback
46	s2nperf	reqresp	iouring	loopback	8	ok		requests_per_second	3	40644.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00046t8-s2nperf-reqresp-iouring-loopback
47	s2nperf	reqresp	iouring	loopback	16	ok		requests_per_second	3	39244.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00047t16-s2nperf-reqresp-iouring-loopback
49	s2nperf	stream_churn	syscall	loopback	1	ok		streams_per_second	3	29956.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00049t1-s2nperf-stream_churn-syscall-loopback
50	s2nperf	stream_churn	syscall	loopback	2	ok		streams_per_second	3	37927.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00050t2-s2nperf-stream_churn-syscall-loopback
51	s2nperf	stream_churn	syscall	loopback	4	ok		streams_per_second	3	39821.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00051t4-s2nperf-stream_churn-syscall-loopback
52	s2nperf	stream_churn	syscall	loopback	8	ok		streams_per_second	3	39439.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00052t8-s2nperf-stream_churn-syscall-loopback
53	s2nperf	stream_churn	syscall	loopback	16	ok		streams_per_second	3	38287.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00053t16-s2nperf-stream_churn-syscall-loopback
55	s2nperf	stream_churn	iouring	loopback	1	ok		streams_per_second	3	31559.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00055t1-s2nperf-stream_churn-iouring-loopback
56	s2nperf	stream_churn	iouring	loopback	2	ok		streams_per_second	3	39248.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00056t2-s2nperf-stream_churn-iouring-loopback
57	s2nperf	stream_churn	iouring	loopback	4	ok		streams_per_second	3	41383.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00057t4-s2nperf-stream_churn-iouring-loopback
58	s2nperf	stream_churn	iouring	loopback	8	ok		streams_per_second	3	40877.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00058t8-s2nperf-stream_churn-iouring-loopback
59	s2nperf	stream_churn	iouring	loopback	16	ok		streams_per_second	3	37764.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00059t16-s2nperf-stream_churn-iouring-loopback
61	s2nperf	multistream_download	syscall	loopback	1	ok		throughput_gbps	3	0.134480	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00061t1-s2nperf-multistream_download-syscall-loopback
62	s2nperf	multistream_download	syscall	loopback	2	ok		throughput_gbps	3	0.268435	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00062t2-s2nperf-multistream_download-syscall-loopback
63	s2nperf	multistream_download	syscall	loopback	4	ok		throughput_gbps	3	0.536871	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00063t4-s2nperf-multistream_download-syscall-loopback
64	s2nperf	multistream_download	syscall	loopback	8	ok		throughput_gbps	3	1.073742	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00064t8-s2nperf-multistream_download-syscall-loopback
65	s2nperf	multistream_download	syscall	loopback	16	ok		throughput_gbps	3	2.147484	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00065t16-s2nperf-multistream_download-syscall-loopback
67	s2nperf	multistream_download	iouring	loopback	1	ok		throughput_gbps	3	0.134218	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00067t1-s2nperf-multistream_download-iouring-loopback
68	s2nperf	multistream_download	iouring	loopback	2	ok		throughput_gbps	3	0.268435	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00068t2-s2nperf-multistream_download-iouring-loopback
69	s2nperf	multistream_download	iouring	loopback	4	ok		throughput_gbps	3	0.536871	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00069t4-s2nperf-multistream_download-iouring-loopback
70	s2nperf	multistream_download	iouring	loopback	8	ok		throughput_gbps	3	1.073742	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00070t8-s2nperf-multistream_download-iouring-loopback
71	s2nperf	multistream_download	iouring	loopback	16	ok		throughput_gbps	3	2.147484	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00071t16-s2nperf-multistream_download-iouring-loopback
73	s2nperf	multistream_upload	syscall	loopback	1	ok		throughput_gbps	3	0.163578	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00073t1-s2nperf-multistream_upload-syscall-loopback
74	s2nperf	multistream_upload	syscall	loopback	2	ok		throughput_gbps	3	0.301990	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00074t2-s2nperf-multistream_upload-syscall-loopback
75	s2nperf	multistream_upload	syscall	loopback	4	ok		throughput_gbps	3	0.593494	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00075t4-s2nperf-multistream_upload-syscall-loopback
76	s2nperf	multistream_upload	syscall	loopback	8	ok		throughput_gbps	3	1.472201	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00076t8-s2nperf-multistream_upload-syscall-loopback
77	s2nperf	multistream_upload	syscall	loopback	16	ok		throughput_gbps	3	2.770338	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00077t16-s2nperf-multistream_upload-syscall-loopback
79	s2nperf	multistream_upload	iouring	loopback	1	ok		throughput_gbps	3	0.153092	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00079t1-s2nperf-multistream_upload-iouring-loopback
80	s2nperf	multistream_upload	iouring	loopback	2	ok		throughput_gbps	3	0.285213	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00080t2-s2nperf-multistream_upload-iouring-loopback
81	s2nperf	multistream_upload	iouring	loopback	4	ok		throughput_gbps	3	0.597688	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00081t4-s2nperf-multistream_upload-iouring-loopback
82	s2nperf	multistream_upload	iouring	loopback	8	ok		throughput_gbps	3	1.331692	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00082t8-s2nperf-multistream_upload-iouring-loopback
83	s2nperf	multistream_upload	iouring	loopback	16	ok		throughput_gbps	3	2.671772	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00083t16-s2nperf-multistream_upload-iouring-loopback
85	s2nperf	bidi	syscall	loopback	1	ok		throughput_gbps	3	0.268435	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00085t1-s2nperf-bidi-syscall-loopback
86	s2nperf	bidi	syscall	loopback	2	ok		throughput_gbps	3	0.536871	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00086t2-s2nperf-bidi-syscall-loopback
87	s2nperf	bidi	syscall	loopback	4	ok		throughput_gbps	3	1.073742	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00087t4-s2nperf-bidi-syscall-loopback
88	s2nperf	bidi	syscall	loopback	8	ok		throughput_gbps	3	2.147484	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00088t8-s2nperf-bidi-syscall-loopback
89	s2nperf	bidi	syscall	loopback	16	ok		throughput_gbps	3	4.294967	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00089t16-s2nperf-bidi-syscall-loopback
91	s2nperf	bidi	iouring	loopback	1	ok		throughput_gbps	3	0.268435	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00091t1-s2nperf-bidi-iouring-loopback
92	s2nperf	bidi	iouring	loopback	2	ok		throughput_gbps	3	0.536871	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00092t2-s2nperf-bidi-iouring-loopback
93	s2nperf	bidi	iouring	loopback	4	ok		throughput_gbps	3	1.073742	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00093t4-s2nperf-bidi-iouring-loopback
94	s2nperf	bidi	iouring	loopback	8	ok		throughput_gbps	3	2.147484	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00094t8-s2nperf-bidi-iouring-loopback
95	s2nperf	bidi	iouring	loopback	16	ok		throughput_gbps	3	4.294967	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00095t16-s2nperf-bidi-iouring-loopback
97	s2nperf	small_payload_pps	syscall	loopback	1	ok		messages_per_second	3	30079.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00097t1-s2nperf-small_payload_pps-syscall-loopback
98	s2nperf	small_payload_pps	syscall	loopback	2	ok		messages_per_second	3	38664.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00098t2-s2nperf-small_payload_pps-syscall-loopback
99	s2nperf	small_payload_pps	syscall	loopback	4	ok		messages_per_second	3	39706.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00099t4-s2nperf-small_payload_pps-syscall-loopback
100	s2nperf	small_payload_pps	syscall	loopback	8	ok		messages_per_second	3	39127.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00100t8-s2nperf-small_payload_pps-syscall-loopback
101	s2nperf	small_payload_pps	syscall	loopback	16	ok		messages_per_second	3	38453.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00101t16-s2nperf-small_payload_pps-syscall-loopback
103	s2nperf	small_payload_pps	iouring	loopback	1	ok		messages_per_second	3	32664.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00103t1-s2nperf-small_payload_pps-iouring-loopback
104	s2nperf	small_payload_pps	iouring	loopback	2	ok		messages_per_second	3	39677.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00104t2-s2nperf-small_payload_pps-iouring-loopback
105	s2nperf	small_payload_pps	iouring	loopback	4	ok		messages_per_second	3	41062.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00105t4-s2nperf-small_payload_pps-iouring-loopback
106	s2nperf	small_payload_pps	iouring	loopback	8	ok		messages_per_second	3	41031.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00106t8-s2nperf-small_payload_pps-iouring-loopback
107	s2nperf	small_payload_pps	iouring	loopback	16	ok		messages_per_second	3	38815.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00107t16-s2nperf-small_payload_pps-iouring-loopback
109	s2nperf	loss_recovery	syscall	loopback	1	ok		throughput_gbps	3	4.177918	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00109t1-s2nperf-loss_recovery-syscall-loopback
110	s2nperf	loss_recovery	syscall	loopback	2	ok		throughput_gbps	3	5.474784	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00110t2-s2nperf-loss_recovery-syscall-loopback
111	s2nperf	loss_recovery	syscall	loopback	4	ok		throughput_gbps	3	2.873098	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00111t4-s2nperf-loss_recovery-syscall-loopback
112	s2nperf	loss_recovery	syscall	loopback	8	ok		throughput_gbps	3	3.057648	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00112t8-s2nperf-loss_recovery-syscall-loopback
113	s2nperf	loss_recovery	syscall	loopback	16	ok		throughput_gbps	3	5.421138	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00113t16-s2nperf-loss_recovery-syscall-loopback
115	s2nperf	loss_recovery	iouring	loopback	1	ok		throughput_gbps	3	4.538718	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00115t1-s2nperf-loss_recovery-iouring-loopback
116	s2nperf	loss_recovery	iouring	loopback	2	ok		throughput_gbps	3	5.633943	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00116t2-s2nperf-loss_recovery-iouring-loopback
117	s2nperf	loss_recovery	iouring	loopback	4	ok		throughput_gbps	3	5.553258	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00117t4-s2nperf-loss_recovery-iouring-loopback
118	s2nperf	loss_recovery	iouring	loopback	8	ok		throughput_gbps	3	5.729419	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00118t8-s2nperf-loss_recovery-iouring-loopback
119	s2nperf	loss_recovery	iouring	loopback	16	ok		throughput_gbps	3	5.496635	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00119t16-s2nperf-loss_recovery-iouring-loopback
121	s2nperf	flow_control	syscall	loopback	1	ok		throughput_gbps	3	1.929470	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00121t1-s2nperf-flow_control-syscall-loopback
122	s2nperf	flow_control	syscall	loopback	2	ok		throughput_gbps	3	4.931977	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00122t2-s2nperf-flow_control-syscall-loopback
123	s2nperf	flow_control	syscall	loopback	4	ok		throughput_gbps	3	2.968514	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00123t4-s2nperf-flow_control-syscall-loopback
124	s2nperf	flow_control	syscall	loopback	8	ok		throughput_gbps	3	4.667193	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00124t8-s2nperf-flow_control-syscall-loopback
125	s2nperf	flow_control	syscall	loopback	16	ok		throughput_gbps	3	1.697222	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00125t16-s2nperf-flow_control-syscall-loopback
127	s2nperf	flow_control	iouring	loopback	1	ok		throughput_gbps	3	2.044289	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00127t1-s2nperf-flow_control-iouring-loopback
128	s2nperf	flow_control	iouring	loopback	2	ok		throughput_gbps	3	4.957143	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00128t2-s2nperf-flow_control-iouring-loopback
129	s2nperf	flow_control	iouring	loopback	4	ok		throughput_gbps	3	3.495952	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00129t4-s2nperf-flow_control-iouring-loopback
130	s2nperf	flow_control	iouring	loopback	8	ok		throughput_gbps	3	2.908226	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00130t8-s2nperf-flow_control-iouring-loopback
131	s2nperf	flow_control	iouring	loopback	16	ok		throughput_gbps	3	1.926234	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00131t16-s2nperf-flow_control-iouring-loopback
133	s2nperf	resumed_connect	syscall	loopback	1	ok		connections_per_second	3	0.944622	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00133t1-s2nperf-resumed_connect-syscall-loopback
134	s2nperf	resumed_connect	syscall	loopback	2	ok		connections_per_second	3	1.886383	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00134t2-s2nperf-resumed_connect-syscall-loopback
135	s2nperf	resumed_connect	syscall	loopback	4	ok		connections_per_second	3	3.749059	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00135t4-s2nperf-resumed_connect-syscall-loopback
136	s2nperf	resumed_connect	syscall	loopback	8	ok		connections_per_second	3	7.365965	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00136t8-s2nperf-resumed_connect-syscall-loopback
137	s2nperf	resumed_connect	syscall	loopback	16	ok		connections_per_second	3	14.420653	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00137t16-s2nperf-resumed_connect-syscall-loopback
139	s2nperf	resumed_connect	iouring	loopback	1	ok		connections_per_second	3	0.991579	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00139t1-s2nperf-resumed_connect-iouring-loopback
140	s2nperf	resumed_connect	iouring	loopback	2	ok		connections_per_second	3	1.982346	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00140t2-s2nperf-resumed_connect-iouring-loopback
141	s2nperf	resumed_connect	iouring	loopback	4	ok		connections_per_second	3	3.948251	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00141t4-s2nperf-resumed_connect-iouring-loopback
142	s2nperf	resumed_connect	iouring	loopback	8	ok		connections_per_second	3	7.816235	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00142t8-s2nperf-resumed_connect-iouring-loopback
