publication_id	round	block_id	sample_id	binary	library	scenario	network	path_profile	client_threads	server_connections	adapter_features	metric	value	phase	status	reason	started_utc	ended_utc	duration_sec	run_order	random_seed	out_dir	client_log	server_log	git_commit	env_hash	machine_hash	datagram_sent	datagram_received	datagram_lost	datagram_delivery_ratio	udp_packets_sent	udp_packets_received	udp_send_syscalls	udp_recv_polls	datagrams_per_udp_packet
scout-scout	0	r000b00004t8	r000b00004t8:s2nperf-download-syscall-loopback-r000b00004t8-2.client	s2nperf	s2n_quic	download	syscall	loopback	8	8	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	2.904556000	scout	ok		2026-06-01T01:53:47Z	2026-06-01T01:53:49Z	2.175465	2	2036343	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00004t8-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00004t8-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00004t8-2.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00004t8-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00004t8-2.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00004t8	r000b00004t8:s2nperf-download-syscall-loopback-r000b00004t8-3.client	s2nperf	s2n_quic	download	syscall	loopback	8	8	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	2.092958000	scout	ok		2026-06-01T01:53:49Z	2026-06-01T01:53:51Z	2.161149	3	2036343	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00004t8-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00004t8-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00004t8-3.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00004t8-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00004t8-3.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00005t16	r000b00005t16:s2nperf-download-syscall-loopback-r000b00005t16-1.client	s2nperf	s2n_quic	download	syscall	loopback	16	16	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.521801000	scout	ok		2026-06-01T01:53:52Z	2026-06-01T01:53:54Z	2.192518	1	2036344	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00005t16-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00005t16-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00005t16-1.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00005t16-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00005t16-1.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00005t16	r000b00005t16:s2nperf-download-syscall-loopback-r000b00005t16-2.client	s2nperf	s2n_quic	download	syscall	loopback	16	16	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.572133000	scout	ok		2026-06-01T01:53:54Z	2026-06-01T01:53:56Z	2.200942	2	2036344	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00005t16-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00005t16-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00005t16-2.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00005t16-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00005t16-2.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00005t16	r000b00005t16:s2nperf-download-syscall-loopback-r000b00005t16-3.client	s2nperf	s2n_quic	download	syscall	loopback	16	16	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.874123000	scout	ok		2026-06-01T01:53:56Z	2026-06-01T01:53:58Z	2.203124	3	2036344	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00005t16-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00005t16-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00005t16-3.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00005t16-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00005t16-3.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00007t1	r000b00007t1:s2nperf-download-iouring-loopback-r000b00007t1-1.client	s2nperf	s2n_quic	download	iouring	loopback	1	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	6.330365000	scout	ok		2026-06-01T01:54:06Z	2026-06-01T01:54:08Z	2.112706	1	2036346	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00007t1-s2nperf-download-iouring-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00007t1-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00007t1-1.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00007t1-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00007t1-1.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00007t1	r000b00007t1:s2nperf-download-iouring-loopback-r000b00007t1-2.client	s2nperf	s2n_quic	download	iouring	loopback	1	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	6.251737000	scout	ok		2026-06-01T01:54:08Z	2026-06-01T01:54:10Z	2.115626	2	2036346	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00007t1-s2nperf-download-iouring-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00007t1-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00007t1-2.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00007t1-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00007t1-2.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00007t1	r000b00007t1:s2nperf-download-iouring-loopback-r000b00007t1-3.client	s2nperf	s2n_quic	download	iouring	loopback	1	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	6.281045000	scout	ok		2026-06-01T01:54:11Z	2026-06-01T01:54:13Z	2.113048	3	2036346	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00007t1-s2nperf-download-iouring-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00007t1-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00007t1-3.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00007t1-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00007t1-3.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00008t2	r000b00008t2:s2nperf-download-iouring-loopback-r000b00008t2-1.client	s2nperf	s2n_quic	download	iouring	loopback	2	2	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.962203000	scout	ok		2026-06-01T01:54:13Z	2026-06-01T01:54:15Z	2.135368	1	2036347	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00008t2-s2nperf-download-iouring-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00008t2-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00008t2-1.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00008t2-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00008t2-1.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00008t2	r000b00008t2:s2nperf-download-iouring-loopback-r000b00008t2-2.client	s2nperf	s2n_quic	download	iouring	loopback	2	2	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.698875000	scout	ok		2026-06-01T01:54:15Z	2026-06-01T01:54:17Z	2.136958	2	2036347	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00008t2-s2nperf-download-iouring-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00008t2-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00008t2-2.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00008t2-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00008t2-2.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00008t2	r000b00008t2:s2nperf-download-iouring-loopback-r000b00008t2-3.client	s2nperf	s2n_quic	download	iouring	loopback	2	2	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.564827000	scout	ok		2026-06-01T01:54:17Z	2026-06-01T01:54:20Z	2.137627	3	2036347	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00008t2-s2nperf-download-iouring-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00008t2-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00008t2-3.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00008t2-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00008t2-3.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00009t4	r000b00009t4:s2nperf-download-iouring-loopback-r000b00009t4-1.client	s2nperf	s2n_quic	download	iouring	loopback	4	4	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.010096000	scout	ok		2026-06-01T01:54:20Z	2026-06-01T01:54:22Z	2.148733	1	2036348	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00009t4-s2nperf-download-iouring-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00009t4-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00009t4-1.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00009t4-s2nperf-download-iouring-loopback/s2nperf-download-iouring-loopback-r000b00009t4-1.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
